CG1D:Det:A1:TIFF1:FileName,CG1D:Mot:ShortAxis,CG1D:Mot:LongAxis,CG1D:Mot:G0:X,CG1D:Det:A1:AcquireTime,Delay,Camera
AM_tomo,96,350,92.4,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.5,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.6,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,118,92.4,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.5,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.6,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,25,92.4,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.5,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.6,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,30,350,92.4,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.5,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.6,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,118,92.4,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.5,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.6,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,25,92.4,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.5,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,92.6,30,3,CCD 600
AM_tomo,,,,30,,CCD 600
AM_tomo,,,,30,,CCD 600
