us/m (H2),xs (H2),us/m (C4H10),"xs (Butane, C4H10)",us/m (C16H34),"xs (Cetane, C16H34)",us/m (C4H6),"xs (Butadiene, C4H6)",us/m (CH4),"xs (Methane, CH4)",us/m (C2H6),"xs (Ethane, C2H6)",us/m (C3H8),"xs (Propane, C3H8)",us/m (C2H4),"xs (Ethylene, C2H4)"
0.083696767,20.37408469,1340.332575,87.10360364,1335.478163,92.11034422,1283.782855,81.45080374,1307.866599,88.91017842,1337.511994,87.85177303,1244.18173,84.75435497,1349.92004,83.215291
10.55834711,20.44431026,1313.323628,86.59225626,1311.373494,91.22427445,1249.303972,80.9426448,1297.140859,87.71961185,1316.3953,86.96442788,1218.516116,83.57016529,1322.844136,82.40518601
22.52698473,20.51389815,1284.770477,85.85747836,1281.225918,90.04199784,1214.79161,80.28510706,1283.443883,86.60501005,1292.257152,85.92897931,1191.373255,82.4613027,1286.787569,81.52421776
34.47888301,20.50879663,1256.234064,85.19738986,1246.579642,88.7869449,1163.761691,79.2611369,1268.202702,85.26697774,1266.591539,84.74478963,1164.230393,81.35244011,1255.196224,80.56664704
46.48099934,20.72776331,1223.165471,84.31514623,1214.92134,87.53061658,1118.724461,78.30930539,1242.386434,83.41058346,1239.415199,83.48654824,1132.572091,80.09611179,1216.084725,79.38819656
56.97238903,20.87267829,1184.070712,83.21138515,1181.752311,86.20023654,1082.684634,77.50302653,1222.596333,81.77570661,1212.255598,82.30299624,1093.376896,78.54421431,1182.982654,78.35657413
70.50197136,21.24038608,1155.500821,82.40191785,1148.616761,85.01923531,1051.143507,76.76952401,1190.770638,79.77248429,1183.60201,81.12008194,1061.685115,77.13850719,1149.863843,77.2502623
85.54228032,21.68214559,1123.926215,81.51903653,1115.464472,83.76354468,1013.576213,75.81450405,1160.505887,78.06738188,1139.874634,79.34602934,1030.077031,76.10624707,1112.229592,75.99648474
99.05512329,21.97516398,1095.339585,80.63487983,1082.328922,82.58254345,971.4934791,74.71201836,1131.768602,76.51102057,1094.670011,77.64730382,999.9127162,74.84928105,1062.543007,74.29967229
117.1001462,22.49033751,1054.734098,79.45706705,1053.708813,81.54900794,935.4201727,73.75636071,1092.456231,74.43629729,1064.488957,76.31564841,971.2758675,73.74105615,1024.892016,72.97120532
