Wavelength (A)	Flux (n/s/cm2)
2.86E-04	8.62E+04
3.03E-04	1.04E+05
3.21E-04	1.54E+05
3.40E-04	2.37E+05
3.60E-04	3.65E+05
3.81E-04	5.29E+05
4.04E-04	7.23E+05
4.28E-04	9.89E+05
4.53E-04	1.40E+06
4.80E-04	1.90E+06
5.09E-04	2.54E+06
5.39E-04	3.70E+06
5.71E-04	4.46E+06
6.04E-04	4.87E+06
6.40E-04	6.02E+06
6.78E-04	6.97E+06
7.18E-04	7.14E+06
7.61E-04	9.06E+06
8.06E-04	1.08E+07
8.54E-04	1.07E+07
9.04E-04	1.01E+07
9.58E-04	8.92E+06
1.01E-03	1.36E+07
1.07E-03	1.51E+07
1.14E-03	1.32E+07
1.21E-03	1.27E+07
1.28E-03	1.30E+07
1.35E-03	1.37E+07
1.43E-03	1.36E+07
1.52E-03	1.05E+07
1.61E-03	1.99E+07
1.70E-03	1.98E+07
1.80E-03	1.66E+07
1.91E-03	1.66E+07
2.02E-03	1.71E+07
2.14E-03	1.80E+07
2.27E-03	1.87E+07
2.41E-03	1.97E+07
2.55E-03	2.07E+07
2.70E-03	2.19E+07
2.86E-03	2.31E+07
3.03E-03	2.40E+07
3.21E-03	2.52E+07
3.40E-03	2.62E+07
3.60E-03	2.74E+07
3.81E-03	2.80E+07
4.04E-03	3.03E+07
4.28E-03	3.15E+07
4.53E-03	3.30E+07
4.80E-03	3.43E+07
5.09E-03	3.58E+07
5.39E-03	3.72E+07
5.71E-03	3.87E+07
6.04E-03	4.00E+07
6.40E-03	4.12E+07
6.78E-03	4.24E+07
7.18E-03	4.34E+07
7.61E-03	4.43E+07
8.06E-03	4.51E+07
8.54E-03	4.58E+07
9.04E-03	4.63E+07
9.58E-03	4.71E+07
1.01E-02	4.75E+07
1.07E-02	4.76E+07
1.14E-02	4.77E+07
1.21E-02	4.79E+07
1.28E-02	4.77E+07
1.35E-02	4.78E+07
1.43E-02	4.77E+07
1.52E-02	4.74E+07
1.61E-02	4.73E+07
1.70E-02	4.71E+07
1.80E-02	4.69E+07
1.91E-02	4.64E+07
2.02E-02	4.59E+07
2.14E-02	4.59E+07
2.27E-02	4.57E+07
2.41E-02	4.52E+07
2.55E-02	4.50E+07
2.70E-02	4.46E+07
2.86E-02	4.45E+07
3.03E-02	4.43E+07
3.21E-02	4.37E+07
3.40E-02	4.40E+07
3.60E-02	4.34E+07
3.81E-02	4.27E+07
4.04E-02	4.27E+07
4.28E-02	4.25E+07
4.53E-02	4.25E+07
4.80E-02	4.16E+07
5.09E-02	4.15E+07
5.39E-02	4.13E+07
5.71E-02	4.07E+07
6.04E-02	3.85E+07
6.40E-02	3.90E+07
6.78E-02	3.88E+07
7.18E-02	3.92E+07
7.61E-02	3.88E+07
8.06E-02	3.87E+07
8.54E-02	3.86E+07
9.04E-02	3.88E+07
9.58E-02	3.85E+07
1.01E-01	3.78E+07
1.07E-01	3.79E+07
1.14E-01	3.67E+07
1.21E-01	3.75E+07
1.28E-01	3.72E+07
1.35E-01	3.66E+07
1.43E-01	3.56E+07
1.52E-01	3.52E+07
1.61E-01	3.45E+07
1.70E-01	3.22E+07
1.80E-01	3.12E+07
1.91E-01	3.21E+07
2.02E-01	3.16E+07
2.14E-01	3.11E+07
2.27E-01	3.05E+07
2.41E-01	3.05E+07
2.55E-01	2.95E+07
2.70E-01	2.95E+07
2.86E-01	2.91E+07
3.03E-01	2.83E+07
3.21E-01	2.75E+07
3.40E-01	2.71E+07
3.60E-01	2.62E+07
3.81E-01	2.52E+07
4.04E-01	2.46E+07
4.28E-01	2.34E+07
4.53E-01	2.21E+07
4.80E-01	2.12E+07
5.09E-01	2.03E+07
5.39E-01	2.00E+07
5.71E-01	2.01E+07
6.04E-01	1.98E+07
6.40E-01	1.98E+07
6.78E-01	1.97E+07
7.18E-01	1.92E+07
7.61E-01	1.84E+07
8.06E-01	1.76E+07
8.54E-01	1.66E+07
9.04E-01	1.57E+07
9.58E-01	1.50E+07
1.01E+00	1.44E+07
1.07E+00	1.39E+07
1.14E+00	1.36E+07
1.21E+00	1.34E+07
