Wavelength (A)	Flux (n/s/cm2)
0.086	17091571.2
0.091	16583548.8
0.099	16352582.4
0.111	17028288
0.124	17548876.8
0.133	17171683.2
0.142	16913222.4
0.155	17031648
0.163	16197244.8
0.18	16257024
0.203	16428384
0.225	16860960
0.244	16834828.8
0.257	16505568
0.279	16236460.8
0.307	16300963.2
0.32	15396864
0.339	14853081.6
0.352	14280499.2
0.37	14090784
0.406	13762425.6
0.428	12770150.4
0.451	12244108.8
0.479	11422425.6
0.51	11016000
0.543	10988582.4
0.579	11016748.8
0.617	11017152
0.635	10741152
0.685	10764912
0.72	10526976
0.775	10081200
0.804	9493632
0.859	8988576
0.908	8638348.8
0.964	8301196.8
1.015	8126496
1.069	7963622.4
1.135	7659888
1.21	7492320
1.288	7554892.8
1.353	7585459.2
1.436	7871577.6
1.523	7997577.6
1.605	8058384
1.706	8581862.4
1.806	8894188.8
1.914	9260697.6
2.022	9433843.2
2.136	9412070.4
2.266	9854380.8
2.411	10484956.8
2.546	9581107.2
2.698	8883974.4
2.871	9178012.8
3.033	8036236.8
3.217	7473734.4
3.399	6167145.6
3.603	6883171.2
3.808	6141542.4
4.041	5081961.6
4.277	4475452.8
4.535	4048848
4.802	3549638.4
5.092	3226291.2
5.395	2744976
5.711	2357500.8
6.05	1858560
6.404	1536960
6.778	1301376
7.179	1102694.4
7.608	949478.4
8.062	851347.2
8.537	737596.8
9.037	607286.4
9.58	551808
