t_us,E_eV,f,s
0.05,1000.0,0.0,0.0
0.1033,1000.0,4124000000.0,62684000.0
0.11013,1000.0,4656600000.0,64261000.0
0.1174,1000.0,5298800000.0,66235000.0
0.12515,1000.0,5714100000.0,67427000.0
0.13342,1000.0,6029200000.0,66321000.0
0.14223,1000.0,6055800000.0,63586000.0
0.15163,1000.0,5923600000.0,59828000.0
0.16164,1000.0,5723900000.0,56094000.0
0.17232,1000.0,5336700000.0,51766000.0
0.1837,1000.0,4873900000.0,47764000.0
0.19583,1000.0,4281800000.0,43247000.0
0.20877,1000.0,3698100000.0,39200000.0
0.22256,1000.0,3220800000.0,35428000.0
0.23726,1000.0,2714900000.0,30949000.0
0.25293,1000.0,2305500000.0,27435000.0
0.26964,1000.0,1908800000.0,23860000.0
0.28745,1000.0,1642500000.0,21516000.0
0.30643,1000.0,1356300000.0,18445000.0
0.32667,1000.0,1103400000.0,16110000.0
0.34825,1000.0,942390000.0,14136000.0
0.37125,1000.0,786490000.0,12584000.0
0.39577,1000.0,651600000.0,10882000.0
0.42191,1000.0,547050000.0,9628100.0
0.44978,1000.0,435680000.0,8103600.0
0.47949,1000.0,371420000.0,7242700.0
0.51116,1000.0,305330000.0,6350900.0
0.54492,1000.0,241860000.0,5320800.0
0.58091,1000.0,201790000.0,4479800.0
0.61928,1000.0,167820000.0,4027700.0
0.66019,1000.0,137850000.0,3501300.0
0.70379,1000.0,106980000.0,2931300.0
0.75028,1000.0,88782000.0,2645700.0
0.79983,1000.0,66426000.0,2072500.0
0.85266,1000.0,55760000.0,1951600.0
0.90898,1000.0,46149000.0,1712100.0
0.96902,1000.0,37099000.0,1435700.0
1.033,1000.0,26756000.0,1126400.0
1.1013,1000.0,20053000.0,972590.0
1.174,1000.0,14022000.0,723550.0
1.2515,1000.0,10077000.0,572360.0
1.3342,1000.0,8503400.0,540810.0
1.4223,1000.0,6351600.0,502410.0
1.5163,1000.0,4342000.0,334770.0
1.6164,1000.0,3853800.0,406960.0
1.7232,1000.0,2207800.0,252350.0
1.837,1000.0,2046900.0,245010.0
1.9583,1000.0,1465800.0,214880.0
2.0877,1000.0,1059800.0,164160.0
2.2256,1000.0,711780.0,155100.0
2.3726,1000.0,639420.0,116570.0
2.5293,1000.0,576880.0,105050.0
2.6964,1000.0,351120.0,95927.0
2.8745,1000.0,191600.0,47095.0
3.0643,1000.0,235230.0,50080.0
3.2667,1000.0,119600.0,42482.0
3.4825,1000.0,175240.0,45126.0
3.7125,1000.0,168230.0,43118.0
3.9577,1000.0,106470.0,29226.0
4.2191,1000.0,108470.0,34483.0
4.4978,1000.0,107540.0,29627.0
4.7949,1000.0,77712.0,23648.0
5.1116,1000.0,25727.0,9266.9
5.4492,1000.0,6036.0,2795.3
5.8091,1000.0,9661.0,3592.0
6.1928,1000.0,5200.6,4429.4
6.6019,1000.0,0.0,0.0
7.0379,1000.0,5772.9,3884.6
7.5028,1000.0,649.86,649.86
7.9983,1000.0,0.0,0.0
8.5266,1000.0,0.0,0.0
9.0898,1000.0,0.0,0.0
9.6902,1000.0,0.0,0.0
10.33,1000.0,0.0,0.0
11.013,1000.0,0.0,0.0
11.74,1000.0,0.0,0.0
12.515,1000.0,0.0,0.0
13.342,1000.0,0.0,0.0
14.223,1000.0,0.0,0.0
15.163,1000.0,0.0,0.0
16.164,1000.0,0.0,0.0
17.232,1000.0,0.0,0.0
18.37,1000.0,0.0,0.0
19.583,1000.0,0.0,0.0
20.877,1000.0,0.0,0.0
22.256,1000.0,0.0,0.0
23.726,1000.0,0.0,0.0
25.293,1000.0,0.0,0.0
26.964,1000.0,0.0,0.0
28.745,1000.0,0.0,0.0
30.643,1000.0,0.0,0.0
32.667,1000.0,0.0,0.0
34.825,1000.0,0.0,0.0
37.125,1000.0,0.0,0.0
39.577,1000.0,0.0,0.0
42.191,1000.0,0.0,0.0
44.978,1000.0,0.0,0.0
47.949,1000.0,0.0,0.0
51.116,1000.0,0.0,0.0
54.492,1000.0,0.0,0.0
58.091,1000.0,0.0,0.0
61.928,1000.0,0.0,0.0
66.019,1000.0,0.0,0.0
70.379,1000.0,0.0,0.0
75.028,1000.0,0.0,0.0
79.983,1000.0,0.0,0.0
85.266,1000.0,0.0,0.0
90.898,1000.0,0.0,0.0
96.902,1000.0,0.0,0.0
103.3,1000.0,0.0,0.0
110.13,1000.0,0.0,0.0
117.4,1000.0,0.0,0.0
125.15,1000.0,0.0,0.0
133.42,1000.0,0.0,0.0
142.23,1000.0,0.0,0.0
151.63,1000.0,0.0,0.0
161.64,1000.0,0.0,0.0
172.32,1000.0,0.0,0.0
183.7,1000.0,0.0,0.0
195.83,1000.0,0.0,0.0
208.77,1000.0,0.0,0.0
222.56,1000.0,0.0,0.0
237.26,1000.0,0.0,0.0
252.93,1000.0,0.0,0.0
269.64,1000.0,0.0,0.0
287.45,1000.0,0.0,0.0
306.43,1000.0,0.0,0.0
326.67,1000.0,0.0,0.0
348.25,1000.0,0.0,0.0
371.25,1000.0,0.0,0.0
395.77,1000.0,0.0,0.0
421.91,1000.0,0.0,0.0
449.78,1000.0,0.0,0.0
479.49,1000.0,0.0,0.0
511.16,1000.0,0.0,0.0
544.92,1000.0,0.0,0.0
580.91,1000.0,0.0,0.0
619.28,1000.0,0.0,0.0
660.19,1000.0,0.0,0.0
703.79,1000.0,0.0,0.0
750.28,1000.0,0.0,0.0
799.83,1000.0,0.0,0.0
852.66,1000.0,0.0,0.0
908.98,1000.0,0.0,0.0
969.02,1000.0,0.0,0.0
1033.0,1000.0,0.0,0.0
1101.3,1000.0,0.0,0.0
1174.0,1000.0,0.0,0.0
1251.5,1000.0,0.0,0.0
1334.2,1000.0,0.0,0.0
1422.3,1000.0,0.0,0.0
1516.3,1000.0,0.0,0.0
1616.4,1000.0,0.0,0.0
1723.2,1000.0,0.0,0.0
1837.0,1000.0,0.0,0.0
1958.3,1000.0,0.0,0.0
2087.7,1000.0,0.0,0.0
2225.6,1000.0,0.0,0.0
2372.6,1000.0,0.0,0.0
2529.3,1000.0,0.0,0.0
2696.4,1000.0,0.0,0.0
2874.5,1000.0,0.0,0.0
3064.3,1000.0,0.0,0.0
3266.7,1000.0,0.0,0.0
3482.5,1000.0,0.0,0.0
3712.5,1000.0,0.0,0.0
3957.7,1000.0,0.0,0.0
4219.1,1000.0,0.0,0.0
4497.8,1000.0,0.0,0.0
4794.9,1000.0,0.0,0.0
5111.6,1000.0,0.0,0.0
5449.2,1000.0,0.0,0.0
5809.1,1000.0,0.0,0.0
6192.8,1000.0,0.0,0.0
6601.9,1000.0,0.0,0.0
7037.9,1000.0,0.0,0.0
7502.8,1000.0,0.0,0.0
7998.3,1000.0,0.0,0.0
8526.6,1000.0,0.0,0.0
9089.8,1000.0,0.0,0.0
9690.2,1000.0,0.0,0.0
55000.0,1000.0,0.0,0.0
550000.0,1000.0,0.0,0.0
5500000.0,1000.0,0.0,0.0
