raw_name,name,last_name,first_name,affiliation,year,title
"McAlister, Abbey",Abbey McAlister,McAlister,Abbey,,2022,"Density Measurements of Various Molten Sodium, Magnesium, Potassium, and Uranium Chloride Salt Compositions Using Neutron Imaging"
"Braatz, Alexander",Alexander Braatz,Braatz,Alexander,,2022,"Density Measurements of Various Molten Sodium, Magnesium, Potassium, and Uranium Chloride Salt Compositions Using Neutron Imaging"
"Gehl, Anthony",Anthony Gehl,Gehl,Anthony,,2023,Nondestructive neutron imaging diagnosis of acidic gas reduction catalyst after 400-Hour operation in natural gas furnace
"Dos Santos, Antonio M",Antonio M Dos Santos,Dos Santos,Antonio M,,2020,3D scanning and 3D printing AlSi10Mg single crystal mounts for neutron scattering
"Herstein, BS",BS Herstein,Herstein,BS,,2022,Hybrid Additive Manufacturing of Island Grain Bicrystals
"Agca, Can",Can Agca,Agca,Can,Intel Corporation,2022,"Density Measurements of Various Molten Sodium, Magnesium, Potassium, and Uranium Chloride Salt Compositions Using Neutron Imaging"
"Finney, Charles EA",Charles EA Finney,Finney,Charles EA,,2022,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging
"Finney, Charles",Charles Finney,Finney,Charles,,2022,Fabrication of Black Body Grids by Thick Film Printing for Quantitative Neutron Imaging
"Shen, Chen",Chen Shen,Shen,Chen,,2022,Residual stress and microstructure in IN718-René41 graded superalloy fabricated by laser blown directed energy deposition
"Jiang, Chenyang",Chenyang Jiang,Jiang,Chenyang,,2019,Design and characterization of zero magnetic field chambers for high efficiency neutron polarization transport
"Hoffmann, Christina",Christina Hoffmann,Hoffmann,Christina,,2021,Improved acquisition and reconstruction for wavelength-resolved neutron tomography
"Zeng, Congyuan",Congyuan Zeng,Zeng,Congyuan,Southern University and A&M College,2023,Neutron Imaging of Al6061 Prepared by Solid-State Friction Stir Additive Manufacturing
"Tsouris, Costas",Costas Tsouris,Tsouris,Costas,,2022,Neutron tomography of porous aluminum electrodes used in electrocoagulation of groundwater
"Pajerowski, Daniel M",Daniel M Pajerowski,Pajerowski,Daniel M,,2020,3D scanning and 3D printing AlSi10Mg single crystal mounts for neutron scattering
"Jacobson, David",David Jacobson,Jacobson,David,,2022,Fabrication of Black Body Grids by Thick Film Printing for Quantitative Neutron Imaging
"Jassby, David",David Jassby,Jassby,David,,2022,Neutron tomography of porous aluminum electrodes used in electrocoagulation of groundwater
"Cao, Daxian",Daxian Cao,Cao,Daxian,,2023,Designing Low Tortuosity Electrodes through Pattern Optimization for Fast‐Charging
"Splitter, Derek A",Derek A Splitter,Splitter,Derek A,,2022,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging
"Gupta, Devanshi",Devanshi Gupta,Gupta,Devanshi,"PhD student, University of Virginia",2022,Chemical redox of lithium-ion solid electroactive material in a packed bed flow reactor
"Sulejmanovic, Dino",Dino Sulejmanovic,Sulejmanovic,Dino,,2022,Clean Condensing Gas Furnace
"Yu, Dunji",Dunji Yu,Yu,Dunji,,2022,Residual stress and microstructure in IN718-René41 graded superalloy fabricated by laser blown directed energy deposition
"Nafziger, Eric J",Eric J Nafziger,Nafziger,Eric J,,2022,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging
"Stringfellow, Erik",Erik Stringfellow,Stringfellow,Erik,,2022,Understanding FLiNaK salt intrusion behavior on nuclear grade graphite via neutron tomography
"Self, Ethan",Ethan Self,Self,Ethan,,2022,(Invited) Initial Capacity Loss Mechanism of All-Solid-State Lithium Sulfide Battery Unraveled By in Situ Neutron Tomography
"Ossler, Frederik",Frederik Ossler,Ossler,Frederik,,2021,Dynamics of hydrogen loss and structural changes in pyrolyzing biomass utilizing neutron imaging
"Koenig Jr, Gary M",Gary M Koenig Jr,Koenig Jr,Gary M,,2022,Chemical redox of lithium-ion solid electroactive material in a packed bed flow reactor
"Knapp, Gerald L",Gerald L Knapp,Knapp,Gerald L,,2023,Neutron Imaging of Al6061 Prepared by Solid-State Friction Stir Additive Manufacturing
"Yang, Guang",Guang Yang,Yang,Guang,,2022,(Invited) Initial Capacity Loss Mechanism of All-Solid-State Lithium Sulfide Battery Unraveled By in Situ Neutron Tomography
"Wang, Guanyi",Guanyi Wang,Wang,Guanyi,,2023,Designing Low Tortuosity Electrodes through Pattern Optimization for Fast‐Charging
"Jang, Gyoung Gug",Gyoung Gug Jang,Jang,Gyoung Gug,Oak Ridge National Laboratory,2022,Neutron tomography of porous aluminum electrodes used in electrocoagulation of groundwater
"Ghadimi, Hamed",Hamed Ghadimi,Ghadimi,Hamed,,2023,Neutron Imaging of Al6061 Prepared by Solid-State Friction Stir Additive Manufacturing
"Feng, Hao",Hao Feng,Feng,Hao,,2019,Design and characterization of zero magnetic field chambers for high efficiency neutron polarization transport
"Ren, Haoze",Haoze Ren,Ren,Haoze,Ph.D student in Lehigh University,2023,Designing Low Tortuosity Electrodes through Pattern Optimization for Fast‐Charging
"Bilheux, Hassina",Hassina Bilheux,Bilheux,Hassina,,2023,Neutron Imaging of Al6061 Prepared by Solid-State Friction Stir Additive Manufacturing
"Bilheux, Hassina Z",Hassina Z Bilheux,Bilheux,Hassina Z,,2022,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging
"Zhu, Hongli",Hongli Zhu,Zhu,Hongli,,2023,Designing Low Tortuosity Electrodes through Pattern Optimization for Fast‐Charging
"Andrews, Hunter",Hunter Andrews,Andrews,Hunter,,2022,"Density Measurements of Various Molten Sodium, Magnesium, Potassium, and Uranium Chloride Salt Compositions Using Neutron Imaging"
"Bilheux, HZ",HZ Bilheux,Bilheux,HZ,,2022,Hybrid Additive Manufacturing of Island Grain Bicrystals
"Lumsden, Ian",Ian Lumsden,Lumsden,Ian,,2019,Neutron imaging analysis using jupyter Python notebook
"Spinelli, Ian",Ian Spinelli,Spinelli,Ian,,2022,Residual stress and microstructure in IN718-René41 graded superalloy fabricated by laser blown directed energy deposition
"LaManna, Jacob",Jacob LaManna,LaManna,Jacob,,2022,Fabrication of Black Body Grids by Thick Film Printing for Quantitative Neutron Imaging
"Nanda, Jagjit",Jagjit Nanda,Nanda,Jagjit,,2022,(Invited) Initial Capacity Loss Mechanism of All-Solid-State Lithium Sulfide Battery Unraveled By in Situ Neutron Tomography
