Wavelength (A)	Flux (n/s/cm2)
0.812654909	17761.69165
1.028404	120119.8856
1.244153091	291942.0501
1.459902182	586000.861
1.675651273	1030660.116
1.891400364	1509065.711
2.107149455	1863847.305
2.322898545	1989239.118
2.538647636	2231573.448
2.754396727	2254230.984
2.970145818	2117908.25
3.185894909	1921867.876
3.401644	1725260.432
3.617393091	1556133.636
3.833142182	1394662.432
4.048891273	1156793.114
4.264640364	1126787.792
4.480389455	1016329.885
4.696138545	833482.3412
4.911887636	774535.9658
5.127636727	720462.0393
5.343385818	615178.4184
5.559134909	524024.1755
5.774884	443890.0595
5.990633091	374809.0952
6.206382182	317008.7149
6.422131273	268494.5482
6.637880364	225293.4508
6.853629455	189935.6682
7.069378545	165259.8084
7.285127636	138130.3364
7.500876727	116936.548
7.716625818	97212.47586
7.932374909	82047.47669
8.148124	67481.69587
8.363873091	56400.45338
8.579622182	47336.65895
8.795371273	38637.88638
9.011120364	31943.35201
9.226869455	26659.01001
9.442618545	22631.03713
9.658367636	18527.86355
9.874116727	14630.87519
10.08986582	12154.82216
10.30561491	9856.067738
10.521364	7545.376697
10.73711309	6609.386477
10.95286218	4710.190541
11.16861127	3710.299611
11.38436036	2448.360067
11.60010945	2126.787505
11.81585855	1062.279668
12.03160764	1862.908609
12.24735673	2771.285447
12.46310582	1904.686781
12.67885491	2842.666439
12.894604	1178.462776
13.11035309	739.2747107
13.32610218	785.5887991
13.54185127	178.7310011
13.75760036	-24.74859365
13.97334945	511.3648322
14.18909855	884.8219061
14.40484764	802.8571104
14.62059673	1078.274739
14.83634582	110.6126854
15.05209491	1260.109262
15.267844	866.4395102
15.48359309	1239.259964
15.69934218	1170.664184
15.91509127	813.0430268
16.13084036	120.7986018
16.34658945	255.3641062
16.56233855	365.4197493
16.77808764	545.1852576
