E_eV,I_angstrom,f(E),s(E),f(I),s(I)
1e-05,90.441,430510000000.0,0.0,95202.0,0.0
1.122e-05,85.382,544250000000.0,0.0,143040.0,0.0
1.2589e-05,80.606,852550000000.0,0.0,266310.0,0.0
1.4125e-05,76.097,763130000000.0,0.0,283310.0,0.0
1.5849e-05,71.84,907770000000.0,0.0,400540.0,0.0
1.7783e-05,67.821,1148000000000.0,0.0,602030.0,0.0
1.9953e-05,64.027,1229800000000.0,0.0,766470.0,0.0
2.2387e-05,60.446,1198600000000.0,0.0,887820.0,0.0
2.5119e-05,57.064,1891500000000.0,0.0,1665200.0,0.0
2.8184e-05,53.872,1575900000000.0,0.0,1648900.0,0.0
3.1623e-05,50.859,1990000000000.0,0.0,2474700.0,0.0
3.5481e-05,48.014,2571700000000.0,0.0,3800900.0,0.0
3.9811e-05,45.328,2771400000000.0,0.0,4868100.0,0.0
4.4668e-05,42.792,2519700000000.0,0.0,5260200.0,0.0
5.0119e-05,40.399,3144600000000.0,0.0,7802500.0,0.0
5.6234e-05,38.139,3240200000000.0,0.0,9555100.0,0.0
6.3096e-05,36.005,3429200000000.0,0.0,12019000.0,0.0
7.0795e-05,33.991,3691200000000.0,0.0,15376000.0,0.0
7.9433e-05,32.09,4378600000000.0,0.0,21677000.0,0.0
8.9125e-05,30.295,4874700000000.0,0.0,28682000.0,0.0
0.0001,28.6,5287300000000.0,0.0,36974000.0,0.0
0.0001122,27.0,5877800000000.0,0.0,48851000.0,0.0
0.00012589,25.49,6669500000000.0,0.0,65880000.0,0.0
0.00014125,24.064,7122100000000.0,0.0,83613000.0,0.0
0.00015849,22.718,7527800000000.0,0.0,105030000.0,0.0
0.00017783,21.447,8522700000000.0,0.0,141330000.0,0.0
0.00019953,20.247,8892000000000.0,0.0,175250000.0,0.0
0.00022387,19.115,9589300000000.0,0.0,224620000.0,0.0
0.00025119,18.045,10623000000000.0,0.0,295730000.0,0.0
0.00028184,17.036,11266000000000.0,0.0,372780000.0,0.0
0.00031623,16.083,12952000000000.0,0.0,509330000.0,0.0
0.00035481,15.183,13215000000000.0,0.0,617650000.0,0.0
0.00039811,14.334,14427000000000.0,0.0,801370000.0,0.0
0.00044668,13.532,15143000000000.0,0.0,999690000.0,0.0
0.00050119,12.775,16458000000000.0,0.0,1291400000.0,0.0
0.00056234,12.061,17622000000000.0,0.0,1643300000.0,0.0
0.00063096,11.386,18694000000000.0,0.0,2071900000.0,0.0
0.00070795,10.749,20033000000000.0,0.0,2638800000.0,0.0
0.00079433,10.148,21434000000000.0,0.0,3355500000.0,0.0
0.00089125,9.58,22796000000000.0,0.0,4241600000.0,0.0
0.001,9.0441,24497000000000.0,0.0,5417200000.0,0.0
0.001122,8.5382,25314000000000.0,0.0,6653000000.0,0.0
0.0012589,8.0606,26702000000000.0,0.0,8340700000.0,0.0
0.0014125,7.6097,27967000000000.0,0.0,10383000000.0,0.0
0.0015849,7.184,29618000000000.0,0.0,13068000000.0,0.0
0.0017783,6.7821,30826000000000.0,0.0,16165000000.0,0.0
0.0019953,6.4027,32631000000000.0,0.0,20337000000.0,0.0
0.0022387,6.0446,33772000000000.0,0.0,25016000000.0,0.0
0.0025119,5.7065,35307000000000.0,0.0,31083000000.0,0.0
0.0028184,5.3872,36644000000000.0,0.0,38341000000.0,0.0
0.0031623,5.0859,37866000000000.0,0.0,47088000000.0,0.0
0.0035481,4.8014,38707000000000.0,0.0,57207000000.0,0.0
0.0039811,4.5328,39614000000000.0,0.0,69585000000.0,0.0
0.0044668,4.2792,39514000000000.0,0.0,82493000000.0,0.0
0.0050119,4.0399,39663000000000.0,0.0,98413000000.0,0.0
0.0056234,3.8139,39038000000000.0,0.0,115120000000.0,0.0
0.0063096,3.6005,38161000000000.0,0.0,133750000000.0,0.0
0.0070795,3.3991,37068000000000.0,0.0,154410000000.0,0.0
0.0079433,3.209,35643000000000.0,0.0,176460000000.0,0.0
0.0089125,3.0295,34274000000000.0,0.0,201660000000.0,0.0
0.01,2.86,32652000000000.0,0.0,228330000000.0,0.0
0.01122,2.7,30850000000000.0,0.0,256400000000.0,0.0
0.012589,2.549,29203000000000.0,0.0,288460000000.0,0.0
0.014125,2.4064,26688000000000.0,0.0,313320000000.0,0.0
0.015849,2.2718,23619000000000.0,0.0,329550000000.0,0.0
0.017783,2.1447,20456000000000.0,0.0,339210000000.0,0.0
0.019953,2.0247,17876000000000.0,0.0,352320000000.0,0.0
0.022387,1.9115,15514000000000.0,0.0,363410000000.0,0.0
0.025119,1.8045,13327000000000.0,0.0,371010000000.0,0.0
0.028184,1.7036,11450000000000.0,0.0,378870000000.0,0.0
0.031623,1.6083,9813200000000.0,0.0,385900000000.0,0.0
0.035481,1.5183,8514500000000.0,0.0,397940000000.0,0.0
0.039811,1.4334,7380300000000.0,0.0,409960000000.0,0.0
0.044668,1.3532,6435700000000.0,0.0,424870000000.0,0.0
0.050119,1.2775,5684600000000.0,0.0,446030000000.0,0.0
0.056234,1.2061,5084800000000.0,0.0,474170000000.0,0.0
0.063096,1.1386,4601300000000.0,0.0,509970000000.0,0.0
0.070795,1.0749,4177600000000.0,0.0,550290000000.0,0.0
0.079433,1.0148,3858000000000.0,0.0,603990000000.0,0.0
0.089125,0.958,3588800000000.0,0.0,667750000000.0,0.0
0.1,0.90441,3358800000000.0,0.0,742770000000.0,0.0
0.1122,0.85382,3161800000000.0,0.0,830990000000.0,0.0
0.12589,0.80606,2987200000000.0,0.0,933100000000.0,0.0
0.14125,0.76097,2779900000000.0,0.0,1032000000000.0,0.0
0.15849,0.7184,2585400000000.0,0.0,1140800000000.0,0.0
0.17783,0.67821,2366700000000.0,0.0,1241100000000.0,0.0
0.19953,0.64027,2120400000000.0,0.0,1321500000000.0,0.0
0.22387,0.60446,1884400000000.0,0.0,1395900000000.0,0.0
0.25119,0.57064,1707200000000.0,0.0,1503000000000.0,0.0
0.28184,0.53872,1517100000000.0,0.0,1587400000000.0,0.0
0.31623,0.50859,1371600000000.0,0.0,1705600000000.0,0.0
0.35481,0.48014,1277300000000.0,0.0,1887900000000.0,0.0
0.39811,0.45328,1185200000000.0,0.0,2081800000000.0,0.0
0.44668,0.42792,1115200000000.0,0.0,2328200000000.0,0.0
0.50119,0.40399,1047800000000.0,0.0,2599800000000.0,0.0
0.56234,0.38139,957570000000.0,0.0,2823800000000.0,0.0
0.63096,0.36005,886240000000.0,0.0,3106100000000.0,0.0
0.70795,0.33991,817240000000.0,0.0,3404200000000.0,0.0
0.79433,0.3209,738530000000.0,0.0,3656200000000.0,0.0
0.89125,0.30295,677570000000.0,0.0,3986800000000.0,0.0
1.0,0.286,620530000000.0,0.0,4339300000000.0,0.0
1.122,0.27,560220000000.0,0.0,4656100000000.0,0.0
1.2589,0.2549,500590000000.0,0.0,4944700000000.0,0.0
1.4125,0.24064,460580000000.0,0.0,5407200000000.0,0.0
1.5849,0.22718,410790000000.0,0.0,5731600000000.0,0.0
1.7783,0.21447,373140000000.0,0.0,6187700000000.0,0.0
1.9953,0.20247,337670000000.0,0.0,6655200000000.0,0.0
2.2387,0.19115,305660000000.0,0.0,7159800000000.0,0.0
2.5119,0.18045,264740000000.0,0.0,7370400000000.0,0.0
2.8184,0.17036,243540000000.0,0.0,8057900000000.0,0.0
3.1623,0.16083,232640000000.0,0.0,9148500000000.0,0.0
3.5481,0.15183,211560000000.0,0.0,9887700000000.0,0.0
3.9811,0.14334,190860000000.0,0.0,10602000000000.0,0.0
4.4668,0.13532,174980000000.0,0.0,11552000000000.0,0.0
5.0119,0.12775,158450000000.0,0.0,12433000000000.0,0.0
5.6234,0.12061,142190000000.0,0.0,13259000000000.0,0.0
6.3096,0.11386,124040000000.0,0.0,13747000000000.0,0.0
7.0795,0.10749,114290000000.0,0.0,15054000000000.0,0.0
7.9433,0.10148,101520000000.0,0.0,15894000000000.0,0.0
8.9125,0.0958,92137000000.0,0.0,17143000000000.0,0.0
10.0,0.090441,82758000000.0,0.0,18301000000000.0,0.0
11.22,0.085382,73443000000.0,0.0,19302000000000.0,0.0
12.589,0.080606,65559000000.0,0.0,20478000000000.0,0.0
14.125,0.076097,58646000000.0,0.0,21772000000000.0,0.0
15.849,0.07184,52726000000.0,0.0,23264000000000.0,0.0
17.783,0.067821,46501000000.0,0.0,24385000000000.0,0.0
19.953,0.064027,41693000000.0,0.0,25986000000000.0,0.0
22.387,0.060446,36686000000.0,0.0,27174000000000.0,0.0
25.119,0.057065,34591000000.0,0.0,30452000000000.0,0.0
28.184,0.053872,31257000000.0,0.0,32704000000000.0,0.0
31.623,0.050859,27987000000.0,0.0,34803000000000.0,0.0
35.481,0.048014,25014000000.0,0.0,36970000000000.0,0.0
39.811,0.045328,22783000000.0,0.0,40020000000000.0,0.0
44.668,0.042792,20316000000.0,0.0,42412000000000.0,0.0
50.119,0.040399,18169000000.0,0.0,45080000000000.0,0.0
