Wavelength (A)	Transmission
0.45	1.78E-07
0.50	3.16E-08
0.55	5.62E-09
0.60	1.00E-09
0.65	1.88E-10
0.70	3.16E-11
0.75	5.62E-12
0.80	1.02E-12
0.85	2.64E-13
0.90	3.16E-14
0.95	2.66E-12
1.00	8.19E-10
1.05	2.16E-16
1.10	4.75E-07
1.15	1.40E-06
1.20	2.27E-07
1.25	4.22E-08
1.30	1.01E-06
1.35	4.79E-06
1.40	3.90E-06
1.45	2.28E-06
1.50	4.20E-06
1.55	8.78E-06
1.60	2.66E-05
1.65	4.43E-04
1.70	4.16E-03
1.75	1.58E-02
1.80	3.90E-02
1.85	7.77E-02
1.90	1.36E-01
1.95	2.17E-01
2.00	3.26E-01
2.05	4.67E-01
2.10	6.46E-01
2.15	8.43E-01
2.20	9.62E-01
2.25	1.00E+00
2.30	1.00E+00
2.35	1.00E+00
2.40	1.00E+00
2.45	1.00E+00
2.50	1.00E+00
2.55	1.00E+00
2.60	1.00E+00
2.65	1.00E+00
2.70	1.00E+00
2.75	1.00E+00
2.80	1.00E+00
2.85	1.00E+00
2.90	1.00E+00
2.95	1.00E+00
3.00	1.00E+00
3.05	1.00E+00
3.10	1.00E+00
3.15	1.00E+00
3.20	1.00E+00
3.25	1.00E+00
3.30	1.00E+00
3.35	1.00E+00
3.40	1.00E+00
3.45	1.00E+00
3.50	1.00E+00
3.55	1.00E+00
3.60	1.00E+00
3.65	1.00E+00
3.70	1.00E+00
3.75	1.00E+00
3.80	1.00E+00
3.85	1.00E+00
3.90	1.00E+00
3.95	1.00E+00
4.00	1.00E+00
4.05	1.00E+00
4.10	1.00E+00
4.15	1.00E+00
4.20	1.00E+00
4.25	1.00E+00
4.30	1.00E+00
4.35	1.00E+00
4.40	1.00E+00
4.45	1.00E+00
4.50	1.00E+00
4.55	1.00E+00
4.60	1.00E+00
4.65	1.00E+00
4.70	9.99E-01
4.75	9.96E-01
4.80	9.55E-01
4.85	8.33E-01
4.90	6.38E-01
4.95	4.61E-01
5.00	3.21E-01
5.05	2.14E-01
5.10	1.34E-01
5.15	7.66E-02
5.20	3.85E-02
5.25	1.56E-02
5.30	4.14E-03
5.35	4.41E-04
5.40	1.29E-05
5.45	6.95E-09
5.50	1.71E-59
5.55	5.62E-84
5.60	1.00E-84
5.65	1.78E-85
5.70	3.16E-86
5.75	5.62E-87
5.80	1.00E-87
5.85	1.78E-88
5.90	3.16E-89
5.95	5.62E-90
6.00	1.00E-90
6.05	1.78E-91
6.10	3.16E-92
6.15	5.62E-93
6.20	1.00E-93
6.25	1.78E-94
6.30	3.16E-95
6.35	5.62E-96
6.40	1.00E-96
6.45	1.78E-97
6.50	3.16E-98
6.55	5.62E-99
6.60	1.00E-99
6.65	1.78E-100
6.70	3.16E-101
6.75	1.85E-75
6.80	4.35E-75
6.85	3.73E-75
6.90	2.11E-75
6.95	8.49E-76
7.00	2.89E-76
7.05	8.53E-77
7.10	2.08E-77
7.15	3.20E-78
7.20	1.00E-108
7.25	1.78E-109
7.30	3.16E-110
7.35	5.62E-111
7.40	5.26E-82
7.45	7.62E-82
7.50	5.03E-82
7.55	2.15E-82
7.60	1.09E-82
7.65	2.37E-82
7.70	1.95E-82
7.75	1.11E-82
7.80	5.57E-83
7.85	2.66E-83
7.90	1.27E-83
7.95	6.19E-84
8.00	3.18E-84
8.05	5.25E-51
8.10	9.77E-48
8.15	2.34E-47
8.20	3.10E-47
8.25	2.59E-47
8.30	1.76E-47
8.35	1.08E-47
8.40	6.00E-48
8.45	2.76E-48
8.50	8.66E-49
8.55	1.63E-49
8.60	3.27E-49
8.65	3.98E-49
8.70	3.84E-49
8.75	3.29E-49
8.80	2.68E-49
8.85	2.05E-49
8.90	1.48E-49
8.95	1.05E-49
9.00	7.84E-50
9.05	6.70E-50
9.10	6.49E-50
9.15	8.09E-50
9.20	4.52E-49
9.25	1.67E-48
9.30	2.88E-48
9.35	3.22E-48
9.40	2.71E-48
9.45	2.02E-48
9.50	1.42E-48
9.55	9.55E-49
9.60	6.26E-49
9.65	4.02E-49
9.70	2.54E-49
9.75	1.59E-49
9.80	9.63E-50
9.85	5.59E-50
9.90	3.16E-50
9.95	1.78E-50
10.00	1.00E-50
10.05	5.62E-51
10.10	3.16E-51
10.15	1.78E-51
10.20	1.00E-51
10.25	5.62E-52
10.30	3.16E-52
10.35	1.78E-52
10.40	1.00E-52
10.45	5.62E-53
10.50	3.16E-53
10.55	1.78E-53
10.60	1.00E-53
10.65	5.62E-54
10.70	3.16E-54
10.75	1.78E-54
10.80	1.00E-54
10.85	5.62E-55
10.90	3.16E-55
10.95	1.78E-55
11.00	1.00E-55
11.05	5.62E-56
11.10	3.16E-56
11.15	1.78E-56
11.20	1.00E-56
11.25	5.62E-57
11.30	3.13E-57
11.35	1.70E-57
11.40	8.87E-58
11.45	4.46E-58
11.50	2.21E-58
11.55	1.08E-58
11.60	5.15E-59
11.65	2.38E-59
11.70	1.04E-59
11.75	4.22E-60
11.80	1.43E-60
11.85	3.35E-61
11.90	5.07E-62
11.95	1.84E-63
12.00	2.63E-65
12.05	1.46E-65
12.10	8.58E-66
12.15	5.12E-66
12.20	3.62E-66
12.25	3.71E-66
12.30	4.49E-66
12.35	5.66E-66
12.40	8.32E-66
12.45	2.97E-65
12.50	9.12E-65
12.55	1.37E-64
12.60	1.29E-64
12.65	9.39E-65
12.70	6.02E-65
12.75	3.55E-65
12.80	1.94E-65
12.85	9.84E-66
12.90	4.46E-66
12.95	1.65E-66
13.00	4.03E-67
13.05	5.65E-68
13.10	1.04E-69
13.15	3.14E-132
13.20	1.00E-132
13.25	3.16E-133
13.30	1.00E-133
13.35	3.16E-134
13.40	1.00E-134
13.45	3.16E-135
13.50	1.00E-135
13.55	3.16E-136
13.60	1.00E-136
13.65	3.16E-137
13.70	1.00E-137
13.75	3.16E-138
13.80	1.00E-138
13.85	3.16E-139
13.90	1.00E-139
13.95	3.16E-140
14.00	1.00E-140
14.05	1.36E-77
14.10	5.40E-77
14.15	1.10E-76
14.20	1.72E-76
14.25	2.06E-76
14.30	2.12E-76
14.35	1.88E-76
14.40	1.55E-76
14.45	1.24E-76
14.50	1.00E-76
14.55	1.32E-76
14.60	9.07E-76
14.65	2.31E-75
14.70	3.51E-75
14.75	3.65E-75
14.80	2.98E-75
