,formula,thickness,density,transmission,mu_per_cm,height_mm
0,Ni8740Co72Cr3576Al190Mo301Ti419Nb523Fe3290,2.7328,8.19,64.82280146391894,1.5863318577281986,0.0
1,Ni8692Co73Cr3565Al191Mo302Ti232Nb594Fe3264,2.7328004306163445,8.19,64.94861822062188,1.5792361299860416,0.065
2,Ni8790Co42Cr3597Al197Mo304Ti219Nb602Fe3193,2.7328003571186805,8.19,65.05752218929949,1.573105585841735,0.1299
3,Ni8819Co38Cr3744Al192Mo294Ti215Nb539Fe3222,2.7327815828944177,8.19,65.02724080673697,1.5748200194456363,0.1949
4,Ni8828Co39Cr3580Al196Mo304Ti203Nb542Fe3226,2.7327598281920227,8.19,64.92833315476693,1.5804026638590685,0.2599
5,Ni8849Co38Cr3590Al203Mo300Ti213Nb550Fe3223,2.733771571941027,8.19,64.93058116492757,1.5796911245334813,0.3249
6,Ni8784Co43Cr3609Al195Mo304Ti212Nb549Fe3227,2.7361277207629193,8.19,64.93509463026982,1.5780767682843864,0.3898
7,Ni8785Co34Cr3576Al192Mo313Ti235Nb597Fe3159,2.8040174804417566,8.19,64.35789254472066,1.5717113472839128,0.4548
8,Ni8894Co29Cr3514Al202Mo305Ti212Nb539Fe3167,2.8685248803586347,8.19,63.504897852223074,1.5828802972630636,0.5198
9,Ni8851Co26Cr3546Al201Mo307Ti200Nb566Fe3158,2.93140473063661,8.19,62.99375202371377,1.5764955071251858,0.5848
10,Ni8852Co28Cr3658Al198Mo309Ti199Nb539Fe3176,2.9858722953143086,8.19,62.48349433857737,1.5749761148343202,0.6497
11,Ni8907Co27Cr3747Al199Mo307Ti184Nb490Fe3232,2.913830132311123,8.19,63.1418523971987,1.5779449881286822,0.7147
12,Ni8884Co16Cr3762Al201Mo311Ti202Nb584Fe3160,2.85005095577812,8.19,64.02556519146259,1.564490365932545,0.7797
13,Ni8862Co21Cr3777Al198Mo301Ti199Nb542Fe3167,2.7826062581989843,8.19,64.60440172020986,1.5700663295419177,0.8446
14,Ni8872Co20Cr3693Al201Mo309Ti209Nb528Fe3174,2.78524617460879,8.19,64.5091301677614,1.5738767481731355,0.9096
15,Ni8907Co20Cr3793Al200Mo303Ti211Nb530Fe3174,2.8563340516386675,8.19,63.83967885681867,1.571228207849228,0.9746
16,Ni8867Co24Cr3822Al203Mo321Ti212Nb578Fe3150,2.8599847538059833,8.19,63.95160640841001,1.5630976281520634,1.0395
17,Ni8899Co20Cr3907Al196Mo305Ti207Nb497Fe3217,2.8609614310265297,8.19,63.824841364112515,1.5694993419904324,1.1045
18,Ni8932Co14Cr3833Al198Mo302Ti209Nb522Fe3189,2.860917721723451,8.19,63.8186144506341,1.5698643558755698,1.1695
19,Ni8884Co16Cr3775Al204Mo310Ti190Nb498Fe3179,2.8608992564863973,8.19,63.76394552238882,1.5728700392366803,1.2345
20,Ni8876Co17Cr3691Al196Mo307Ti193Nb528Fe3169,2.860899953235104,8.19,63.74932922067541,1.5736709825327335,1.2994
21,Ni8815Co14Cr3686Al221Mo328Ti221Nb614Fe3102,2.8608996811058893,8.19,64.0038093779011,1.559745648605057,1.3644
22,Ni8900Co19Cr3595Al196Mo311Ti202Nb554Fe3155,2.8608838201659785,8.19,63.71419029028178,1.5756070817460557,1.4294
23,Ni8917Co15Cr3655Al196Mo304Ti193Nb470Fe3206,2.860900917160521,8.19,63.59769118416831,1.581994733623546,1.4944
24,Ni8884Co14Cr3797Al201Mo296Ti188Nb489Fe3221,2.8617845664993613,8.19,63.74174015702959,1.5736005490416032,1.5593
25,Ni8865Co15Cr3877Al198Mo309Ti189Nb516Fe3190,2.861769059756877,8.19,63.874248631985196,1.5663524598715397,1.6243
26,Ni8898Co15Cr3870Al198Mo305Ti202Nb552Fe3171,2.9305482307032915,8.19,63.229415556577564,1.5642143415098155,1.6893
27,Ni8866Co13Cr3907Al199Mo306Ti208Nb531Fe3196,2.9429186545507946,8.19,63.12822155650154,1.5630818215957807,1.7542
28,Ni8868Co14Cr3846Al206Mo301Ti194Nb529Fe3188,2.9221601289540207,8.19,63.27137658620543,1.5664341635543355,1.8192
29,Ni8951Co15Cr3907Al195Mo295Ti199Nb491Fe3188,2.9908007500760876,8.19,62.49904917785396,1.5715484975180505,1.8842
30,Ni8878Co12Cr3836Al200Mo311Ti192Nb512Fe3176,2.988442617114459,8.19,62.59660116445497,1.567569680511019,1.9492
31,Ni8874Co14Cr3860Al202Mo307Ti205Nb547Fe3160,2.9890432347405484,8.19,62.662204855635814,1.5637502597509103,2.0141
32,Ni8937Co11Cr3819Al198Mo306Ti197Nb542Fe3160,2.988046224680522,8.19,62.6043846122157,1.5673615245233843,2.0791
33,Ni8867Co14Cr3892Al198Mo308Ti195Nb554Fe3162,2.9828131967003015,8.19,62.76264186966959,1.5616471213288625,2.1441
34,Ni8918Co12Cr3884Al201Mo321Ti210Nb579Fe3126,2.9153861009110944,8.19,63.46659061830956,1.5595071623566052,2.209
35,Ni8856Co12Cr3873Al204Mo303Ti198Nb550Fe3172,2.8575691322545476,8.19,63.98625098709591,1.5625237163787458,2.274
36,Ni8898Co13Cr3884Al195Mo318Ti193Nb514Fe3192,2.861128521920812,8.19,63.88755333755803,1.5659751863448756,2.339
37,Ni8950Co20Cr3867Al196Mo301Ti189Nb486Fe3202,2.858941367635229,8.19,63.75540807981327,1.574415544224437,2.404
38,Ni8847Co14Cr3865Al195Mo309Ti227Nb532Fe3166,2.893896286244345,8.19,63.58936952097558,1.5644094698936002,2.4689
39,Ni8789Co15Cr3749Al231Mo306Ti368Nb520Fe3138,2.949629372647345,8.19,62.986233904675615,1.5671595801473148,2.5339
40,Ni8923Co13Cr3801Al198Mo311Ti205Nb553Fe3160,2.9461124482152528,8.19,63.03280498660756,1.566521608255435,2.5989
41,Ni8910Co10Cr3836Al192Mo304Ti196Nb503Fe3194,2.946946632412132,8.19,62.96166138240235,1.5699103242495678,2.6639
42,Ni8962Co11Cr3897Al199Mo299Ti182Nb454Fe3244,2.944695246698624,8.19,62.90198283323713,1.5743309930541152,2.7288
43,Ni8910Co13Cr3813Al197Mo310Ti192Nb542Fe3167,3.010286746656316,8.19,62.397686390349605,1.5667676473069867,2.7938
44,Ni8661Co12Cr3767Al390Mo302Ti364Nb564Fe3094,3.0331830635380403,8.19,62.443276281185355,1.5525328045881737,2.8588
45,Ni8846Co11Cr3818Al195Mo307Ti218Nb640Fe3098,2.983922101910161,8.19,62.878111491205935,1.554906783786162,2.9237
46,Ni8867Co12Cr3738Al198Mo317Ti212Nb608Fe3104,2.989164124005207,8.19,62.71163475180144,1.561049089231129,2.9887
47,Ni8803Co12Cr3494Al195Mo311Ti213Nb649Fe3087,2.9244086024335374,8.19,63.26930884887309,1.565341540660217,3.0537
48,Ni8921Co11Cr3570Al196Mo307Ti191Nb509Fe3168,2.860137934044979,8.19,63.63255364294636,1.5805006866268017,3.1187
49,Ni8933Co11Cr3699Al197Mo300Ti203Nb495Fe3181,2.8617501630852535,8.19,63.66781911824366,1.5776742193070261,3.1836
50,Ni8831Co12Cr3746Al197Mo302Ti207Nb564Fe3139,2.8609288440484546,8.19,63.892217939803444,1.5658292862910843,3.2486
51,Ni8931Co12Cr3895Al201Mo307Ti211Nb521Fe3173,2.8608849885426704,8.19,63.878621326968165,1.5665972134562922,3.3136
52,Ni8925Co11Cr3886Al199Mo306Ti196Nb486Fe3210,2.860899216738567,8.19,63.81507655927396,1.5700682890873265,3.3785
53,Ni8873Co11Cr3907Al205Mo304Ti202Nb546Fe3180,2.860900261053996,8.19,63.968463436302756,1.5616761932032799,3.4435
54,Ni8869Co13Cr3849Al200Mo304Ti192Nb510Fe3183,2.8609000188331146,8.19,63.84877766829652,1.5682223934443273,3.5085
55,Ni8563Co8Cr3730Al397Mo301Ti338Nb563Fe3048,2.8608999955915624,8.19,64.16679517223237,1.5508557409553347,3.5735
56,Ni8953Co11Cr3873Al201Mo312Ti179Nb472Fe3236,2.860899999583952,8.19,63.778970343566584,1.5720460990536032,3.6384
57,Ni8892Co10Cr3870Al205Mo317Ti207Nb510Fe3171,2.860900000072978,8.19,63.8902859722288,1.5659507685106537,3.7034
58,Ni8962Co9Cr3883Al201Mo306Ti191Nb512Fe3206,2.860900000008808,8.19,63.850631087609045,1.5681209397312161,3.7684
59,Ni8976Co7Cr3835Al198Mo306Ti197Nb543Fe3171,2.860899999998874,8.19,63.86895429644891,1.5671180080505087,3.8333
60,Ni8929Co11Cr3846Al194Mo301Ti184Nb489Fe3212,2.8609000000002354,8.19,63.77688726192259,1.5721602638831926,3.8983
61,Ni8955Co14Cr3827Al199Mo305Ti192Nb518Fe3196,2.860899999998031,8.19,63.799943003554304,1.5708968820974984,3.9633
62,Ni8960Co12Cr3791Al202Mo300Ti196Nb496Fe3207,2.8608999999752176,8.19,63.732758049088844,1.5745796795063476,4.0283
63,Ni8955Co201Cr3772Al236Mo389Ti257Nb485Fe2871,2.860900000086522,8.2,62.99104838796534,1.6154970769971193,4.0932
64,Ni8892Co199Cr3761Al234Mo385Ti262Nb481Fe2889,2.860900001436944,8.2,63.010788753589885,1.6144018454654585,4.1582
65,Ni8849Co187Cr3795Al229Mo369Ti244Nb469Fe2916,2.8608999966502555,8.2,63.05475653147796,1.6119636699517388,4.2232
66,Ni8888Co175Cr3784Al238Mo372Ti239Nb462Fe2939,2.860899917996576,8.2,63.0793061971203,1.6106030827315116,4.2882
67,Ni8986Co280Cr3804Al246Mo398Ti251Nb377Fe2864,2.860900105626655,8.2,62.479525413628934,1.6439975494883083,4.3531
68,Ni8882Co359Cr3765Al269Mo449Ti290Nb426Fe2660,2.8609045709587018,8.2,62.339109640396984,1.6518593414980904,4.4181
69,Ni8879Co350Cr3715Al259Mo446Ti284Nb471Fe2639,2.860898966309767,8.2,62.41074186502683,1.6478484060666958,4.4831
70,Ni8799Co303Cr3704Al271Mo428Ti280Nb509Fe2704,2.86064950371412,8.2,62.70174593661072,1.6317304592957036,4.548
71,Ni8835Co290Cr3825Al252Mo409Ti285Nb479Fe2750,2.8606985549626587,8.2,62.733403923134226,1.6299379795216065,4.613
72,Ni8833Co332Cr3822Al253Mo423Ti287Nb436Fe2716,2.881723324943048,8.2,62.27797685236055,1.6433302953110436,4.678
73,Ni8900Co404Cr3868Al265Mo444Ti280Nb366Fe2651,2.949874499673593,8.2,61.18273845184545,1.6655118302442922,4.7429
74,Ni8869Co394Cr3721Al271Mo442Ti281Nb382Fe2637,2.9920269086701565,8.2,60.72438607482088,1.667180263754372,4.8079
75,Ni8840Co365Cr3937Al258Mo438Ti282Nb427Fe2677,2.9893976798392687,8.2,61.144983087974616,1.645556806487179,4.8729
76,Ni8847Co357Cr3955Al262Mo407Ti302Nb386Fe2680,2.9847533930046066,8.2,61.09712143982924,1.6507408429549724,4.9379
77,Ni8836Co375Cr3912Al264Mo449Ti290Nb421Fe2660,3.0366318449522263,8.2,60.62527828461906,1.6480702042005198,5.0028
78,Ni8840Co422Cr3881Al265Mo452Ti304Nb416Fe2580,2.9970958144139535,8.2,60.77373162293992,1.661650367181553,5.0678
79,Ni8852Co419Cr3926Al276Mo468Ti304Nb429Fe2555,3.0431960481777716,8.2,60.41591471928231,1.6558828910358274,5.1328
80,Ni8809Co409Cr3920Al273Mo460Ti319Nb466Fe2559,3.080356426300816,8.2,60.16778665041085,1.6492672017774965,5.1978
81,Ni8842Co395Cr3917Al271Mo451Ti291Nb441Fe2594,3.027775308008616,8.2,60.66278245388774,1.6508484423939596,5.2627
82,Ni8916Co399Cr4016Al267Mo444Ti287Nb388Fe2625,3.032156230230318,8.2,60.52862473943348,1.6557649360231395,5.3277
83,Ni8864Co429Cr3989Al275Mo466Ti300Nb412Fe2548,3.0310598909294613,8.2,60.497244069376045,1.658074708669088,5.3927
84,Ni8867Co448Cr3849Al283Mo483Ti314Nb428Fe2518,3.0352310818642434,8.2,60.32994485659915,1.664919717595194,5.4576
85,Ni8843Co428Cr3803Al269Mo464Ti302Nb413Fe2567,2.9842407241548417,8.2,60.830702197935274,1.665668423081369,5.5226
86,Ni8873Co440Cr3785Al277Mo471Ti306Nb394Fe2557,2.990069199752874,8.2,60.67217175693259,1.671148776394479,5.5876
87,Ni8889Co453Cr3914Al282Mo468Ti294Nb361Fe2563,3.003468960937026,8.2,60.50870777722198,1.6726755216724563,5.6526
88,Ni8803Co425Cr3804Al278Mo475Ti329Nb439Fe2531,3.034804142328273,8.2,60.433278931476785,1.659514859847307,5.7175
89,Ni8851Co427Cr3813Al277Mo472Ti319Nb423Fe2551,2.9847619737669553,8.2,60.87460905525261,1.6629601658648703,5.7825
