,formula,thickness,density,transmission,mu_per_cm,height_mm,height
0,Ni8740Co72Cr3576Al190Mo301Ti419Nb523Fe3290,2.7328,8.19,80.46779039825897,0.7952034576585784,0.0,0.0
1,Ni8692Co73Cr3565Al191Mo302Ti232Nb594Fe3264,2.7328004306163445,8.19,80.5470199523692,0.7916021633782037,0.065,0.065
2,Ni8790Co42Cr3597Al197Mo304Ti219Nb602Fe3193,2.7328003571186805,8.19,80.61577267534517,0.7884800816058447,0.1299,0.1299
3,Ni8819Co38Cr3744Al192Mo294Ti215Nb539Fe3222,2.7327815828944177,8.19,80.5968026535342,0.7893466785767669,0.1949,0.1949
4,Ni8828Co39Cr3580Al196Mo304Ti203Nb542Fe3226,2.7327598281920227,8.19,80.53549872618831,0.792137379097548,0.2599,0.2599
5,Ni8849Co38Cr3590Al203Mo300Ti213Nb550Fe3223,2.733771571941027,8.19,80.53688914459656,0.7917810635913105,0.3249,0.3249
6,Ni8784Co43Cr3609Al195Mo304Ti212Nb549Fe3227,2.7361277207629193,8.19,80.53948162542058,0.7909815948313598,0.3898,0.3898
7,Ni8785Co34Cr3576Al192Mo313Ti235Nb597Fe3159,2.8040174804417566,8.19,80.17919702764023,0.787819958278838,0.4548,0.4548
8,Ni8894Co29Cr3514Al202Mo305Ti212Nb539Fe3167,2.8685248803586347,8.19,79.64388548378722,0.7934563212154463,0.5198,0.5198
9,Ni8851Co26Cr3546Al201Mo307Ti200Nb566Fe3158,2.93140473063661,8.19,79.32117474402436,0.7902868881874334,0.5848,0.5848
10,Ni8852Co28Cr3658Al198Mo309Ti199Nb539Fe3176,2.9858722953143086,8.19,78.99733416514603,0.7895718755466957,0.6497,0.6497
11,Ni8907Co27Cr3747Al199Mo307Ti184Nb490Fe3232,2.913830132311123,8.19,79.41452693315419,0.7910168580461197,0.7147,0.7147
12,Ni8884Co16Cr3762Al201Mo311Ti202Nb584Fe3160,2.85005095577812,8.19,79.97132083301433,0.7842038919380071,0.7797,0.7797
13,Ni8862Co21Cr3777Al198Mo301Ti199Nb542Fe3167,2.7826062581989843,8.19,80.33357135222565,0.7869693300441798,0.8446,0.8446
14,Ni8872Co20Cr3693Al201Mo309Ti209Nb528Fe3174,2.78524617460879,8.19,80.27415984431777,0.7888796833816775,0.9096,0.9096
15,Ni8907Co20Cr3793Al200Mo303Ti211Nb530Fe3174,2.8563340516386675,8.19,79.85435281204312,0.7876032578281117,0.9746,0.9746
16,Ni8867Co24Cr3822Al203Mo321Ti212Nb578Fe3150,2.8599847538059833,8.19,79.9244684615356,0.7835291472505489,1.0395,1.0395
17,Ni8899Co20Cr3907Al196Mo305Ti207Nb497Fe3217,2.8609614310265297,8.19,79.84483009112168,0.7867462183882403,1.1045,1.1045
18,Ni8932Co14Cr3833Al198Mo302Ti209Nb522Fe3189,2.860917721723451,8.19,79.84125089342254,0.7869149290641205,1.1695,1.1695
19,Ni8884Co16Cr3775Al204Mo310Ti190Nb498Fe3179,2.8608992564863973,8.19,79.80695060272967,0.7884219779116759,1.2345,1.2345
20,Ni8876Co17Cr3691Al196Mo307Ti193Nb528Fe3169,2.860899953235104,8.19,79.79787841545927,0.7888191542769558,1.2994,1.2994
21,Ni8815Co14Cr3686Al221Mo328Ti221Nb614Fe3102,2.8608996811058893,8.19,79.95770624998072,0.7818252574981532,1.3644,1.3644
22,Ni8900Co19Cr3595Al196Mo311Ti202Nb554Fe3155,2.8608838201659785,8.19,79.77587391901334,0.7897876086161462,1.4294,1.4294
23,Ni8917Co15Cr3655Al196Mo304Ti193Nb470Fe3206,2.860900917160521,8.19,79.70259055967968,0.7929952955510405,1.4944,1.4944
24,Ni8884Co14Cr3797Al201Mo296Ti188Nb489Fe3221,2.8617845664993613,8.19,79.79303908899827,0.7887872394054435,1.5593,1.5593
25,Ni8865Co15Cr3877Al198Mo309Ti189Nb516Fe3190,2.861769059756877,8.19,79.87613908588995,0.7851542449583767,1.6243,1.6243
26,Ni8898Co15Cr3870Al198Mo305Ti202Nb552Fe3171,2.9305482307032915,8.19,79.46990859554288,0.7841254472619466,1.6893,1.6893
27,Ni8866Co13Cr3907Al199Mo306Ti208Nb531Fe3196,2.9429186545507946,8.19,79.40590605588395,0.7835671453893992,1.7542,1.7542
28,Ni8868Co14Cr3846Al206Mo301Ti194Nb529Fe3188,2.9221601289540207,8.19,79.49649567523498,0.785231591460608,1.8192,1.8192
29,Ni8951Co15Cr3907Al195Mo295Ti199Nb491Fe3188,2.9908007500760876,8.19,79.00721370981512,0.7878526341193536,1.8842,1.8842
30,Ni8878Co12Cr3836Al200Mo311Ti192Nb512Fe3176,2.988442617114459,8.19,79.0693758454259,0.7858425732784058,1.9492,1.9492
31,Ni8874Co14Cr3860Al202Mo307Ti205Nb547Fe3160,2.9890432347405484,8.19,79.11084932781758,0.7839303167410853,2.0141,2.0141
32,Ni8937Co11Cr3819Al198Mo306Ti197Nb542Fe3160,2.988046224680522,8.19,79.07441980837672,0.7857333401207185,2.0791,2.0791
33,Ni8867Co14Cr3892Al198Mo308Ti195Nb554Fe3162,2.9828131967003015,8.19,79.17453525404561,0.7828698883868178,2.1441,2.1441
34,Ni8918Co12Cr3884Al201Mo321Ti210Nb579Fe3126,2.9153861009110944,8.19,79.6195912826671,0.7817489481339892,2.209,2.209
35,Ni8856Co12Cr3873Al204Mo303Ti198Nb550Fe3172,2.8575691322545476,8.19,79.94655004488064,0.7832247924347419,2.274,2.274
36,Ni8898Co13Cr3884Al195Mo318Ti193Nb514Fe3192,2.861128521920812,8.19,79.8845456223066,0.7849621983128404,2.339,2.339
37,Ni8950Co20Cr3867Al196Mo301Ti189Nb486Fe3202,2.858941367635229,8.19,79.80135522641211,0.7892071570395454,2.404,2.404
38,Ni8847Co14Cr3865Al195Mo309Ti227Nb532Fe3166,2.893896286244345,8.19,79.69679098071443,0.7842052454032675,2.4689,2.4689
39,Ni8789Co15Cr3749Al231Mo306Ti368Nb520Fe3138,2.949629372647345,8.19,79.31546524438878,0.7856480428125185,2.5339,2.5339
40,Ni8923Co13Cr3801Al198Mo311Ti205Nb553Fe3160,2.9461124482152528,8.19,79.3458236225152,0.7852869733380831,2.5989,2.5989
41,Ni8910Co10Cr3836Al192Mo304Ti196Nb503Fe3194,2.946946632412132,8.19,79.30085775652104,0.7869882618613205,2.6639,2.6639
42,Ni8962Co11Cr3897Al199Mo299Ti182Nb454Fe3244,2.944695246698624,8.19,79.26303297790695,0.7892101331450999,2.7288,2.7288
43,Ni8910Co13Cr3813Al197Mo310Ti192Nb542Fe3167,3.010286746656316,8.19,78.94305393662918,0.785451518717491,2.7938,2.7938
44,Ni8661Co12Cr3767Al390Mo302Ti364Nb564Fe3094,3.0331830635380403,8.19,78.97107883769236,0.7783522664647659,2.8588,2.8588
45,Ni8846Co11Cr3818Al195Mo307Ti218Nb640Fe3098,2.983922101910161,8.19,79.24783959763883,0.7794775676315505,2.9237,2.9237
46,Ni8867Co12Cr3738Al198Mo317Ti212Nb608Fe3104,2.989164124005207,8.19,79.14247288097502,0.7825615921316998,2.9887,2.9887
47,Ni8803Co12Cr3494Al195Mo311Ti213Nb649Fe3087,2.9244086024335374,8.19,79.49580456469744,0.7846575827348097,3.0537,3.0537
48,Ni8921Co11Cr3570Al196Mo307Ti191Nb509Fe3168,2.860137934044979,8.19,79.72483791639182,0.7922310439316341,3.1187,3.1187
49,Ni8933Co11Cr3699Al197Mo300Ti203Nb495Fe3181,2.8617501630852535,8.19,79.74674968478764,0.7908244555258868,3.1836,3.1836
50,Ni8831Co12Cr3746Al197Mo302Ti207Nb564Fe3139,2.8609288440484546,8.19,79.88766111125375,0.7848806682282794,3.2486,3.2486
51,Ni8931Co12Cr3895Al201Mo307Ti211Nb521Fe3173,2.8608849885426704,8.19,79.87888870890578,0.7852765505906556,3.3136,3.3136
52,Ni8925Co11Cr3886Al199Mo306Ti196Nb486Fe3210,2.860899216738567,8.19,79.83906028742788,0.7870159238180877,3.3785,3.3785
53,Ni8873Co11Cr3907Al205Mo304Ti202Nb546Fe3180,2.860900261053996,8.19,79.93534579747141,0.7828027374670935,3.4435,3.4435
54,Ni8869Co13Cr3849Al200Mo304Ti192Nb510Fe3183,2.8609000188331146,8.19,79.86023023142276,0.7860889927603045,3.5085,3.5085
55,Ni8563Co8Cr3730Al397Mo301Ti338Nb563Fe3048,2.8608999955915624,8.19,80.05928575305357,0.7773873753082929,3.5735,3.5735
56,Ni8953Co11Cr3873Al201Mo312Ti179Nb472Fe3236,2.860899999583952,8.19,79.81648236583479,0.7880043236569237,3.6384,3.6384
57,Ni8892Co10Cr3870Al205Mo317Ti207Nb510Fe3171,2.860900000072978,8.19,79.88629791073167,0.7849482274642955,3.7034,3.7034
58,Ni8962Co9Cr3883Al201Mo306Ti191Nb512Fe3206,2.860900000008808,8.19,79.86153774031365,0.7860317700260331,3.7684,3.7684
59,Ni8976Co7Cr3835Al198Mo306Ti197Nb543Fe3171,2.860899999998874,8.19,79.87318373036203,0.7855220820336941,3.8333,3.8333
60,Ni8929Co11Cr3846Al194Mo301Ti184Nb489Fe3212,2.8609000000002354,8.19,79.81518718719433,0.7880610437660528,3.8983,3.8983
61,Ni8955Co14Cr3827Al199Mo305Ti192Nb518Fe3196,2.860899999998031,8.19,79.8296180556413,0.7874291195549307,3.9633,3.9633
62,Ni8960Co12Cr3791Al202Mo300Ti196Nb496Fe3207,2.8608999999752176,8.19,79.78747449263923,0.7892748963581813,4.0283,4.0283
63,Ni8955Co201Cr3772Al236Mo389Ti257Nb485Fe2871,2.860900000086522,8.2,79.31302355796093,0.8101221270392477,4.0932,4.0932
64,Ni8892Co199Cr3761Al234Mo385Ti262Nb481Fe2889,2.860900001436944,8.2,79.32551248046394,0.8095717707957767,4.1582,4.1582
65,Ni8849Co187Cr3795Al229Mo369Ti244Nb469Fe2916,2.8608999966502555,8.2,79.35370829249858,0.808329571161492,4.2232,4.2232
66,Ni8888Co175Cr3784Al238Mo372Ti239Nb462Fe2939,2.860899917996576,8.2,79.36972467131643,0.8076241687596846,4.2882,4.2882
67,Ni8986Co280Cr3804Al246Mo398Ti251Nb377Fe2864,2.860900105626655,8.2,78.98584182371849,0.8245711429761502,4.3531,4.3531
68,Ni8882Co359Cr3765Al269Mo449Ti290Nb426Fe2660,2.8609045709587018,8.2,78.89345264998234,0.8286607909820888,4.4181,4.4181
69,Ni8879Co350Cr3715Al259Mo446Ti284Nb471Fe2639,2.860898966309767,8.2,78.93948279926043,0.826623625582864,4.4831,4.4831
70,Ni8799Co303Cr3704Al271Mo428Ti280Nb509Fe2704,2.86064950371412,8.2,79.12599736016462,0.8184459523314965,4.548,4.548
71,Ni8835Co290Cr3825Al252Mo409Ti285Nb479Fe2750,2.8606985549626587,8.2,79.14635216043597,0.817532794546057,4.613,4.613
