,formula,thickness,density,height,transmission,mu_per_cm
0,Ni8740Co72Cr3576Al190Mo301Ti419Nb523Fe3290,5.0006397,8.2006,0.0,67.21218210166565,0.7945296950981406
1,Ni8692Co73Cr3565Al191Mo302Ti232Nb594Fe3264,5.000639699999985,8.2006,0.065,67.33198356852192,0.7909684504323959
2,Ni8790Co42Cr3597Al197Mo304Ti219Nb602Fe3193,5.000639699999987,8.2006,0.1299,67.43572040874703,0.7878898615047463
3,Ni8819Co38Cr3744Al192Mo294Ti215Nb539Fe3222,5.000639700000624,8.2006,0.1949,67.40673082542298,0.7887497057169841
4,Ni8828Co39Cr3580Al196Mo304Ti203Nb542Fe3226,5.000639700001359,8.2006,0.2599,67.31259034511504,0.791544507591431
5,Ni8849Co38Cr3590Al203Mo300Ti213Nb550Fe3223,5.0006396999671,8.2006,0.3249,67.32454164586477,0.7911894860140063
6,Ni8784Co43Cr3609Al195Mo304Ti212Nb549Fe3227,5.000639699890406,8.2006,0.3898,67.35161223121095,0.7903855687188976
7,Ni8785Co34Cr3576Al192Mo313Ti235Nb597Fe3159,5.000639701701987,8.2006,0.4548,67.45600698163257,0.7872883720780749
8,Ni8894Co29Cr3514Al202Mo305Ti212Nb539Fe3167,5.0006397079272915,8.2006,0.5198,67.26458484404777,0.792971178041657
9,Ni8851Co26Cr3546Al201Mo307Ti200Nb566Fe3158,5.00063961392755,8.2006,0.5848,67.3694473904711,0.789856106715898
10,Ni8852Co28Cr3658Al198Mo309Ti199Nb539Fe3176,5.000639175823636,8.2006,0.6497,67.39247701023889,0.7891726986945594
11,Ni8907Co27Cr3747Al199Mo307Ti184Nb490Fe3232,5.000643950573824,8.2006,0.7147,67.34563459429573,0.7905623872727251
12,Ni8884Co16Cr3762Al201Mo311Ti202Nb584Fe3160,5.0006730826364105,8.2006,0.7797,67.57603772264578,0.7837279719372053
13,Ni8862Co21Cr3777Al198Mo301Ti199Nb542Fe3167,5.000436177824972,8.2006,0.8446,67.48595761664376,0.786432685222245
14,Ni8872Co20Cr3693Al201Mo309Ti209Nb528Fe3174,4.998609855664826,8.2006,0.9096,67.43113280206552,0.7883459103362951
