,formula,thickness,density,height,transmission,mu_per_cm,transmission (2.53 Å),mu_per_cm (2.53 Å)
0,Ni8740Co72Cr3576Al190Mo301Ti419Nb523Fe3290,5.0006397,8.2006,0.0,45.336799156054084,1.5818998914692268,47.085119,1.5062336518367716
1,Ni8692Co73Cr3565Al191Mo302Ti232Nb594Fe3264,5.000639699999985,8.2006,0.065,45.494364298283365,1.5749619579248177,47.229359,1.5001170231369496
2,Ni8790Co42Cr3597Al197Mo304Ti219Nb602Fe3193,5.000639699999987,8.2006,0.1299,45.630172804934475,1.5690012699086553,47.349532,1.495035225690362
3,Ni8819Co38Cr3744Al192Mo294Ti215Nb539Fe3222,5.000639700000624,8.2006,0.1949,45.591688883098804,1.5706885409377147,47.313267,1.4965674162869582
4,Ni8828Co39Cr3580Al196Mo304Ti203Nb542Fe3226,5.000639700001359,8.2006,0.2599,45.46437884173156,1.5762804291676906,47.181151,1.5021592464969133
5,Ni8849Co38Cr3590Al203Mo300Ti213Nb550Fe3223,5.0006396999671,8.2006,0.3249,45.480428717729794,1.575574602273705,47.197321,1.5014740083892084
6,Ni8784Co43Cr3609Al195Mo304Ti212Nb549Fe3227,5.000639699890406,8.2006,0.3898,45.51749456942889,1.5739455052454367,47.237929,1.4997541926535838
7,Ni8785Co34Cr3576Al192Mo313Ti235Nb597Fe3159,5.000639701701987,8.2006,0.4548,45.65681900132731,1.5678338395827227,47.373371,1.4940286702652845
8,Ni8894Co29Cr3514Al202Mo305Ti212Nb539Fe3167,5.0006397079272915,8.2006,0.5198,45.398743822581054,1.579169459415115,47.10944,1.5052009830390003
9,Ni8851Co26Cr3546Al201Mo307Ti200Nb566Fe3158,5.00063961392755,8.2006,0.5848,45.5390221820219,1.572999971885734,47.248233,1.499318062203148
10,Ni8852Co28Cr3658Al198Mo309Ti199Nb539Fe3176,5.000639175823636,8.2006,0.6497,45.57081312974607,1.5716045683504218,47.284252,1.4977942984507544
11,Ni8907Co27Cr3747Al199Mo307Ti184Nb490Fe3232,5.000643950573824,8.2006,0.7147,45.50807887051457,1.574357874666528,47.222178,1.5004198225007062
12,Ni8884Co16Cr3762Al201Mo311Ti202Nb584Fe3160,5.0006730826364105,8.2006,0.7797,45.81669953625252,1.5608329713451796,47.526176,1.487578853397952
13,Ni8862Co21Cr3777Al198Mo301Ti199Nb542Fe3167,5.000436177824972,8.2006,0.8446,45.69627593975981,1.5661701356463789,47.409305,1.492573131611729
14,Ni8872Co20Cr3693Al201Mo309Ti209Nb528Fe3174,4.998609855664826,8.2006,0.9096,45.62221442745397,1.5699873609954966,47.333369,1.4963253487096122
15,Ni8907Co20Cr3793Al200Mo303Ti211Nb530Fe3174,5.0099086672758215,8.2006,0.9746,45.59819306737569,1.5674978290479096,47.311941,1.4938545183631462
16,Ni8867Co24Cr3822Al203Mo321Ti212Nb578Fe3150,4.720583505481592,8.2006,1.0395,47.87953881359711,1.5601502157940512,49.586489,1.4859429723965774
17,Ni8899Co20Cr3907Al196Mo305Ti207Nb497Fe3217,4.2548004960840835,8.2006,1.1045,51.322111172658026,1.567755081056231,53.001967,1.4920585830084818
18,Ni8932Co14Cr3833Al198Mo302Ti209Nb522Fe3189,3.668553101755313,8.2006,1.1695,56.22244392245938,1.5697037354706336,57.833969,1.4926699131415446
19,Ni8884Co16Cr3775Al204Mo310Ti190Nb498Fe3179,2.944595227620785,8.2006,1.2345,62.89675049146003,1.5746669721184914,64.378347,1.49559719445231
20,Ni8876Co17Cr3691Al196Mo307Ti193Nb528Fe3169,2.5307754873982766,8.2006,1.2994,67.09888568677054,1.5766027088917105,68.473709,1.4964595891602424
21,Ni8815Co14Cr3686Al221Mo328Ti221Nb614Fe3102,2.2281076104801447,8.2006,1.3644,70.58463881123409,1.56346867674553,71.859852,1.4831081870138443
22,Ni8900Co19Cr3595Al196Mo311Ti202Nb554Fe3155,2.114118263975878,8.2006,1.4294,71.60780068709488,1.5796948330792941,72.849289,1.4983902205127044
23,Ni8917Co15Cr3655Al196Mo304Ti193Nb470Fe3206,1.9851648272647973,8.2006,1.4944,72.9832772750218,1.5864670035508335,74.18027,1.5045197760716646
24,Ni8884Co14Cr3797Al201Mo296Ti188Nb489Fe3221,1.9078724411358208,8.2006,1.5593,73.99940357847906,1.5782666916003132,75.165166,1.4963384043960832
25,Ni8865Co15Cr3877Al198Mo309Ti189Nb516Fe3190,1.9111457404188492,8.2006,1.6243,74.06413691381496,1.5709882651187799,75.230117,1.4892560895129168
26,Ni8898Co15Cr3870Al198Mo305Ti202Nb552Fe3171,1.8713338434438873,8.2006,1.6893,74.55461653472774,1.5691386247030343,75.703924,1.487389284748833
27,Ni8866Co13Cr3907Al199Mo306Ti208Nb531Fe3196,1.8687583399253036,8.2006,1.7542,74.59999464209515,1.5680451791956806,75.74849,1.486289959791157
28,Ni8868Co14Cr3846Al206Mo301Ti194Nb529Fe3188,1.8580464008666275,8.2006,1.8192,74.67914379840572,1.5713780462233866,75.823196,1.489553351266343
29,Ni8951Co15Cr3907Al195Mo295Ti199Nb491Fe3188,1.948906115572429,8.2006,1.8842,73.54763089709844,1.5764584439698608,74.731521,1.494521530072209
30,Ni8878Co12Cr3836Al200Mo311Ti192Nb512Fe3176,1.942171108956416,8.2006,1.9492,73.68295247302589,1.572460438057898,74.859937,1.4908641352340948
