Ni,Co,Cr,Al,Mo,Ti,Nb,Fe,height_mm,density
51.3,0.427,18.592,0.513,2.888,2.004,4.856,18.372,0,8.19
51.016,0.431,18.539,0.514,2.897,1.109,5.523,18.23,0.065,8.19
51.591,0.247,18.705,0.531,2.916,1.048,5.594,17.83,0.1299,8.19
51.759,0.225,19.467,0.518,2.82,1.029,5.012,17.995,0.1949,8.19
51.812,0.231,18.615,0.528,2.921,0.972,5.031,18.014,0.2599,8.19
51.937,0.221,18.666,0.548,2.881,1.018,5.109,17.999,0.3249,8.19
51.558,0.256,18.764,0.525,2.917,1.013,5.103,18.022,0.3898,8.19
51.565,0.2,18.595,0.517,3.004,1.127,5.549,17.64,0.4548,8.19
52.203,0.17,18.27,0.544,2.928,1.013,5.005,17.688,0.5198,8.19
51.95,0.151,18.439,0.541,2.945,0.958,5.256,17.634,0.5848,8.19
51.957,0.165,19.022,0.535,2.965,0.951,5.006,17.737,0.6497,8.19
52.281,0.158,19.481,0.537,2.944,0.879,4.556,18.049,0.7147,8.19
52.146,0.094,19.56,0.541,2.982,0.969,5.43,17.649,0.7797,8.19
52.014,0.122,19.638,0.535,2.885,0.953,5.031,17.685,0.8446,8.19
52.071,0.12,19.203,0.542,2.967,1,4.901,17.725,0.9096,8.19
52.277,0.119,19.72,0.54,2.908,1.008,4.924,17.723,0.9746,8.19
52.046,0.144,19.875,0.547,3.081,1.017,5.369,17.592,1.0395,8.19
52.229,0.115,20.315,0.529,2.923,0.993,4.617,17.964,1.1045,8.19
52.426,0.083,19.932,0.535,2.894,1,4.85,17.809,1.1695,8.19
52.145,0.096,19.626,0.551,2.97,0.911,4.624,17.752,1.2345,8.19
52.094,0.1,19.19,0.528,2.949,0.924,4.905,17.696,1.2994,8.19
51.739,0.084,19.165,0.595,3.148,1.059,5.706,17.321,1.3644,8.19
52.236,0.111,18.691,0.528,2.983,0.966,5.145,17.618,1.4294,8.19
52.338,0.087,19.002,0.528,2.914,0.925,4.364,17.906,1.4944,8.19
52.141,0.081,19.744,0.543,2.842,0.902,4.546,17.989,1.5593,8.19
52.031,0.091,20.157,0.533,2.962,0.906,4.795,17.812,1.6243,8.19
52.225,0.09,20.12,0.534,2.925,0.967,5.129,17.709,1.6893,8.19
52.04,0.077,20.315,0.537,2.94,0.997,4.933,17.848,1.7542,8.19
52.047,0.084,19.998,0.555,2.887,0.927,4.919,17.803,1.8192,8.19
52.539,0.09,20.317,0.527,2.835,0.953,4.562,17.804,1.8842,8.19
52.106,0.069,19.947,0.54,2.987,0.918,4.757,17.739,1.9492,8.19
52.086,0.08,20.069,0.544,2.942,0.979,5.082,17.648,2.0141,8.19
52.457,0.062,19.858,0.534,2.931,0.943,5.037,17.646,2.0791,8.19
52.046,0.081,20.237,0.535,2.957,0.935,5.144,17.659,2.1441,8.19
52.341,0.068,20.197,0.542,3.082,1.005,5.38,17.458,2.209,8.19
51.978,0.068,20.139,0.551,2.903,0.949,5.112,17.714,2.274,8.19
52.226,0.075,20.196,0.527,3.05,0.923,4.775,17.828,2.339,8.19
52.532,0.116,20.107,0.529,2.885,0.906,4.519,17.88,2.404,8.19
51.928,0.083,20.097,0.527,2.965,1.085,4.945,17.681,2.4689,8.19
51.586,0.088,19.491,0.624,2.931,1.763,4.834,17.524,2.5339,8.19
52.374,0.078,19.762,0.533,2.979,0.982,5.142,17.648,2.5989,8.19
52.295,0.057,19.945,0.517,2.913,0.938,4.673,17.837,2.6639,8.19
52.601,0.063,20.264,0.536,2.869,0.872,4.216,18.118,2.7288,8.19
52.294,0.078,19.825,0.531,2.977,0.92,5.036,17.688,2.7938,8.19
50.836,0.072,19.589,1.051,2.895,1.743,5.243,17.276,2.8588,8.19
51.921,0.067,19.852,0.527,2.946,1.045,5.942,17.303,2.9237,8.19
52.045,0.069,19.435,0.535,3.037,1.014,5.653,17.337,2.9887,8.19
51.67,0.072,18.166,0.527,2.983,1.018,6.028,17.238,3.0537,8.19
52.358,0.062,18.565,0.53,2.949,0.916,4.733,17.693,3.1187,8.19
52.43,0.067,19.231,0.532,2.875,0.97,4.601,17.764,3.1836,8.19
51.832,0.071,19.479,0.531,2.898,0.992,5.236,17.527,3.2486,8.19
52.417,0.068,20.252,0.542,2.943,1.011,4.838,17.718,3.3136,8.19
52.386,0.063,20.208,0.538,2.936,0.936,4.518,17.924,3.3785,8.19
52.08,0.064,20.315,0.553,2.919,0.969,5.074,17.757,3.4435,8.19
52.053,0.075,20.011,0.54,2.913,0.917,4.736,17.777,3.5085,8.19
50.257,0.046,19.392,1.07,2.883,1.618,5.23,17.019,3.5735,8.19
52.546,0.063,20.137,0.543,2.989,0.859,4.388,18.07,3.6384,8.19
52.19,0.06,20.122,0.552,3.045,0.99,4.741,17.709,3.7034,8.19
52.603,0.052,20.19,0.542,2.931,0.916,4.757,17.902,3.7684,8.19
52.682,0.04,19.941,0.533,2.932,0.942,5.042,17.709,3.8333,8.19
52.41,0.063,19.999,0.524,2.89,0.882,4.545,17.939,3.8983,8.19
52.562,0.084,19.9,0.537,2.922,0.917,4.813,17.85,3.9633,8.19
52.589,0.069,19.712,0.544,2.879,0.94,4.61,17.907,4.0283,8.19
52.562,1.183,19.612,0.638,3.735,1.232,4.504,16.031,4.0932,8.2
52.192,1.172,19.557,0.631,3.695,1.255,4.47,16.136,4.1582,8.2
51.94,1.101,19.733,0.618,3.542,1.17,4.358,16.284,4.2232,8.2
52.169,1.033,19.675,0.641,3.57,1.144,4.29,16.415,4.2882,8.2
52.743,1.649,19.777,0.665,3.821,1.202,3.498,15.992,4.3531,8.2
52.131,2.113,19.579,0.725,4.303,1.39,3.956,14.854,4.4181,8.2
52.116,2.064,19.314,0.699,4.277,1.358,4.38,14.737,4.4831,8.2
51.645,1.784,19.26,0.73,4.105,1.342,4.733,15.103,4.548,8.2
51.853,1.707,19.89,0.681,3.926,1.364,4.447,15.36,4.613,8.2
51.841,1.959,19.871,0.683,4.054,1.375,4.052,15.166,4.678,8.2
52.239,2.383,20.113,0.716,4.256,1.34,3.396,14.807,4.7429,8.2
52.058,2.32,19.35,0.732,4.236,1.343,3.548,14.728,4.8079,8.2
51.886,2.152,20.469,0.697,4.204,1.351,3.968,14.947,4.8729,8.2
51.927,2.101,20.564,0.707,3.902,1.445,3.582,14.964,4.9379,8.2
51.863,2.211,20.34,0.711,4.306,1.388,3.911,14.852,5.0028,8.2
51.887,2.489,20.182,0.716,4.334,1.455,3.862,14.406,5.0678,8.2
51.955,2.472,20.414,0.745,4.494,1.453,3.987,14.268,5.1328,8.2
51.701,2.409,20.382,0.736,4.409,1.529,4.33,14.288,5.1978,8.2
51.899,2.326,20.368,0.731,4.326,1.395,4.094,14.487,5.2627,8.2
52.331,2.354,20.882,0.721,4.259,1.373,3.601,14.657,5.3277,8.2
52.024,2.529,20.74,0.742,4.475,1.435,3.831,14.23,5.3927,8.2
52.041,2.639,20.012,0.763,4.636,1.503,3.979,14.061,5.4576,8.2
51.9,2.52,19.776,0.725,4.456,1.445,3.839,14.334,5.5226,8.2
52.079,2.594,19.68,0.748,4.517,1.463,3.663,14.28,5.5876,8.2
52.171,2.671,20.352,0.76,4.492,1.406,3.351,14.313,5.6526,8.2
51.665,2.503,19.779,0.75,4.555,1.576,4.079,14.134,5.7175,8.2
51.949,2.518,19.827,0.748,4.527,1.529,3.928,14.245,5.7825,8.2
52.063,2.564,18.5,0.737,4.519,1.519,3.944,14.094,5.8475,8.2
51.879,2.735,19.07,0.767,4.606,1.567,3.792,13.893,5.9124,8.2
52.297,2.638,18.789,0.746,4.283,1.399,3.299,14.348,5.9774,8.2
50.856,2.479,18.22,0.738,4.825,1.909,5.799,13.309,6.0424,8.2
51.401,2.577,18.381,0.768,4.734,1.657,4.6,13.758,6.1074,8.2
52.1,2.651,20.1,0.755,4.262,1.464,3.594,14.187,6.1723,8.2
52.456,2.599,20.585,0.748,4.291,1.334,3.092,14.482,6.2373,8.2
51.782,2.35,20.784,0.727,4.376,1.461,4.2,14.296,6.3023,8.2
51.852,2.487,20.545,0.758,4.399,1.577,4.322,14.038,6.3673,8.2
51.939,2.53,20.676,0.738,4.388,1.453,3.861,14.293,6.4322,8.2
52.424,2.606,20.604,0.737,4.346,1.398,3.547,14.36,6.4972,8.2
52.245,2.68,19.967,0.773,4.513,1.432,3.58,14.087,6.5622,8.2
51.16,2.57,18.951,0.742,4.788,1.811,5.629,13.24,6.6271,8.2
52.444,2.61,20.152,0.752,4.354,1.281,2.935,14.577,6.6921,8.2
51.368,2.565,20.118,0.751,4.687,1.663,4.577,13.923,6.7571,8.2
51.651,2.582,20.157,0.768,4.802,1.643,4.517,13.772,6.822,8.2
51.924,2.686,19.861,0.767,4.561,1.429,3.655,14.1,6.887,8.2
52.028,2.686,20.099,0.767,4.496,1.483,3.692,14.202,6.952,8.2
51.571,2.615,19.599,0.733,4.666,1.561,4.436,13.799,7.017,8.2
52.336,2.649,20.045,0.79,4.519,1.528,3.622,14.064,7.0819,8.2
52.082,2.544,20.256,0.751,4.332,1.563,3.649,14.246,7.1469,8.2
52.085,2.505,19.631,0.73,4.494,1.54,4.142,14.133,7.2119,8.2
51.777,2.497,19.854,0.746,4.58,1.589,4.486,14.051,7.2769,8.2
52.023,2.546,20.758,0.743,4.318,1.371,3.355,14.376,7.3418,8.2
51.186,2.537,20.077,1.386,4.35,1.63,4.184,13.891,7.4068,8.2
51.857,2.59,20.624,0.741,4.541,1.412,3.605,14.248,7.4718,8.2
51.683,2.841,19.897,0.772,4.804,1.727,4.358,13.388,7.5367,8.21
51.978,3.769,20.364,0.856,5.164,1.733,3.137,12.544,7.6017,8.21
52.156,3.9,20.232,0.861,5.197,1.652,2.823,12.462,7.6667,8.21
51.859,3.938,20.773,0.968,5.329,1.834,3.093,12.302,7.7317,8.21
51.743,4.184,20.725,0.875,5.625,1.984,3.228,11.67,7.7966,8.21
52.554,4.196,21.339,0.903,5.102,1.623,2.522,12.267,7.8616,8.21
52.059,4.279,20.942,0.864,5.406,1.794,2.85,11.854,7.9266,8.21
51.79,4.174,20.761,0.892,5.534,1.864,3.159,11.843,7.9915,8.21
51.666,4.195,20.419,0.881,5.498,1.922,3.348,11.754,8.0565,8.21
52.522,4.349,21.132,0.88,5.226,1.657,2.553,12.085,8.1215,8.21
51.243,4.269,19.699,0.892,5.898,2.114,4.263,11.107,8.1865,8.21
52.156,4.424,20.114,0.891,5.366,1.78,2.716,11.769,8.2514,8.21
52.114,4.401,19.829,0.911,5.529,1.923,3.214,11.563,8.3164,8.21
52.063,4.436,20.235,0.916,5.552,1.797,2.617,11.647,8.3814,8.21
51.261,4.573,18.939,0.917,5.998,2.17,3.548,10.926,8.4464,8.21
52.1,4.675,20.779,0.946,5.712,1.916,2.758,11.297,8.5113,8.21
51.992,4.6,20.617,0.941,5.863,1.971,3.055,11.194,8.5763,8.21
51.462,4.477,20.15,0.883,5.78,2.011,3.439,11.196,8.6413,8.21
51.897,4.646,20.546,0.893,5.625,1.933,3.051,11.235,8.7062,8.21
51.562,4.675,20.939,0.912,5.76,1.982,2.855,11.073,8.7712,8.21
52.346,4.861,21.026,0.966,5.823,1.896,2.391,11.028,8.8362,8.21
51.689,4.823,20.701,0.937,5.944,1.973,2.998,11.014,8.9012,8.21
51.511,4.806,20.823,0.936,6.025,2.13,3.061,10.864,8.9661,8.21
52.295,4.856,20.665,0.935,5.663,1.821,2.385,11.265,9.0311,8.21
52.047,4.808,20.771,0.944,5.746,1.82,2.454,11.217,9.0961,8.21
51.779,4.772,20.967,0.922,5.774,2.11,3.043,11.013,9.161,8.21
52.168,4.85,21.019,0.944,5.655,1.846,2.56,11.203,9.226,8.21
52.144,4.786,20.57,0.918,5.898,1.906,2.968,11.105,9.291,8.21
51.772,4.962,20.122,0.959,6.161,2.142,2.805,10.685,9.356,8.21
52.675,5.175,19.158,0.947,5.517,1.572,1.824,11.18,9.4209,8.21
51.916,4.813,19.73,0.953,5.828,1.858,2.557,11.149,9.4859,8.21
51.389,4.772,19.511,0.942,6.084,2.167,3.349,10.737,9.5509,8.21
51.852,4.851,19.191,0.931,5.811,1.917,2.825,11.092,9.6158,8.21
52.081,4.818,20.703,0.915,5.689,1.777,2.222,11.422,9.6808,8.21
51.142,4.712,20.018,0.918,6.265,2.213,3.907,10.638,9.7458,8.21
52.459,4.937,20.159,0.938,5.516,1.924,2.282,11.16,9.8108,8.21
51.916,4.932,21.091,0.964,5.85,1.976,2.757,10.933,9.8757,8.21
51.574,4.843,20.814,0.923,5.955,2.091,3.255,10.734,9.9407,8.21
52.265,4.983,20.547,0.939,5.737,1.794,2.3,11.139,10.0057,8.21
51.89,4.908,20.835,0.96,5.931,2.032,2.821,10.829,10.0707,8.21
51.47,4.76,20.579,0.936,6.094,2.181,3.208,10.777,10.1356,8.21
52.168,4.865,21.244,0.926,5.902,1.928,2.535,11.147,10.2006,8.21
52.04,4.809,21.232,0.926,5.788,1.95,2.836,11.076,10.2656,8.21
51.857,4.973,21.774,0.94,5.911,2.062,2.881,10.786,10.3305,8.21
52.241,4.852,19.925,0.955,5.657,1.922,2.469,11.072,10.3955,8.21
51.994,4.909,18.767,0.956,5.992,2.094,2.84,10.809,10.4605,8.21
51.807,4.857,18.211,0.951,5.675,2.051,2.783,10.928,10.5255,8.21
51.544,4.868,18.722,0.928,6.23,2.102,3.303,10.608,10.5904,8.21
52.23,4.886,18.625,0.928,5.726,1.866,2.528,10.946,10.6554,8.21
51.506,4.853,19.026,0.911,5.986,1.932,2.973,10.9,10.7204,8.21
51.889,4.815,19.01,0.929,5.878,2.176,3.335,10.682,10.7853,8.21
52.234,4.932,19.705,0.942,5.724,1.773,2.206,11.148,10.8503,8.22
51.607,5.418,20.643,0.974,6.297,2.19,2.814,10.046,10.9153,8.22
52.465,6.021,20.788,1.028,6.408,1.99,1.837,9.658,10.9803,8.22
51.677,5.718,20.468,0.999,6.436,2.299,2.603,9.608,11.0452,8.22
52.081,5.858,21.693,1.021,6.12,1.995,1.991,9.849,11.1102,8.22
51.655,6.112,20.771,1.041,6.885,2.348,2.397,9.033,11.1752,8.22
51.983,6.204,20.563,1.041,6.59,2.16,1.908,9.266,11.2401,8.22
51.87,5.982,20.335,1.015,6.647,2.167,2.236,9.497,11.3051,8.22
51.971,6.123,20.984,1.041,6.808,2.319,2.17,9.118,11.3701,8.22
51.872,6.205,21.046,1.067,6.541,2.271,2.091,9.192,11.4351,8.22
52.124,6.396,21.015,1.061,6.688,2.15,1.849,8.971,11.5,8.22
51.898,6.493,20.979,1.094,6.994,2.308,2.011,8.704,11.565,8.22
51.621,6.456,20.739,1.089,6.781,2.268,2.051,8.7,11.63,8.22
52.372,6.585,20.877,1.107,6.579,2.132,1.564,8.854,11.695,8.22
51.384,6.476,20.921,1.121,7.191,2.533,2.1,8.429,11.7599,8.22
50.861,6.519,20.821,1.105,7.274,3.344,2.278,8.19,11.8249,8.22
52.226,6.748,20.778,1.096,6.905,2.235,1.738,8.5,11.8899,8.22
52.136,6.683,20.842,1.081,6.836,2.087,1.765,8.696,11.9548,8.22
51.965,6.717,20.632,1.105,7.055,2.346,1.892,8.421,12.0198,8.22
50.931,6.52,20.552,1.076,7.365,2.792,2.444,8.171,12.0848,8.22
51.743,6.681,19.806,1.101,6.995,2.383,1.949,8.324,12.1498,8.22
51.47,6.699,20.422,1.075,7.189,2.469,2.098,8.299,12.2147,8.22
51.803,6.653,20.075,1.08,6.977,2.289,1.964,8.469,12.2797,8.22
51.613,6.709,19.3,1.108,7.338,2.551,2.229,8.149,12.3447,8.22
51.984,6.811,20.147,1.103,7.05,2.535,2.045,8.216,12.4096,8.22
51.858,6.768,19.572,1.106,7.03,2.362,1.86,8.325,12.4746,8.22
52.04,6.725,20.222,1.094,6.951,2.256,1.793,8.424,12.5396,8.22
52.141,6.758,19.753,1.109,6.831,2.253,1.849,8.457,12.6046,8.22
52.203,6.809,20.024,1.11,6.868,2.272,1.657,8.356,12.6695,8.22
52.015,6.838,20.271,1.092,7.043,2.18,1.723,8.402,12.7345,8.22
51.212,6.642,20.502,1.059,7.275,2.589,2.365,8.185,12.7995,8.22
52.144,6.861,20.372,1.088,7.001,2.3,1.927,8.279,12.8644,8.22
51.806,6.737,19.425,1.114,7.013,2.428,1.978,8.387,12.9294,8.22
51.797,6.798,20.113,1.084,6.898,2.362,1.818,8.328,12.9944,8.22
50.856,6.606,19.406,1.113,7.195,2.554,2.426,8.206,13.0594,8.22
51.684,6.722,18.858,1.103,7.14,2.375,2.058,8.205,13.1243,8.22
51.85,6.814,18.731,1.124,6.93,2.334,1.856,8.252,13.1893,8.22
51.76,6.823,18.482,1.099,7.095,2.367,1.889,8.248,13.2543,8.22
51.916,6.812,18.85,1.086,6.994,2.285,1.688,8.301,13.3192,8.22
51.84,6.811,18.356,1.109,7.111,2.378,1.692,8.19,13.3842,8.22
51.475,6.928,18.525,1.119,7.382,2.359,1.77,8.086,13.4492,8.22
51.499,6.76,18.907,1.102,7.295,2.516,1.98,8.107,13.5142,8.22
50.998,6.642,20.188,1.084,7.444,2.494,2.191,8.297,13.5791,8.22
51.986,6.859,20.404,1.098,7.357,2.41,1.945,8.129,13.6441,8.22
51.139,6.872,20.185,1.116,7.429,2.459,2.01,7.978,13.7091,8.22
51.92,6.9,20.44,1.096,6.936,2.285,1.775,8.318,13.7741,8.22
51.546,6.72,20.604,1.092,7.197,2.275,1.96,8.342,13.839,8.22
51.9,6.764,19.501,1.144,7.029,2.326,1.778,8.282,13.904,8.22
51.882,6.783,20.179,1.076,6.893,2.343,1.676,8.349,13.969,8.22
51.71,6.986,20.169,1.087,7.227,2.384,1.811,8.017,14.0339,8.22
51.709,6.948,20.354,1.1,7.358,2.435,1.973,7.96,14.0989,8.22
51.975,7.861,20.785,1.179,7.436,2.489,1.302,6.953,14.1639,8.22
52.084,7.725,20.53,1.172,7.472,2.475,1.318,7.057,14.2289,8.23
51.531,7.631,20.44,1.222,7.603,2.582,1.446,7.041,14.2938,8.23
51.586,7.647,21.056,1.156,7.776,2.832,1.634,6.926,14.3588,8.23
51.811,7.979,20.92,1.193,7.602,2.596,1.197,6.807,14.4238,8.23
51.842,8.021,21.055,1.186,7.643,2.598,1.232,6.697,14.4887,8.23
51.617,8.079,20.433,1.181,7.663,2.693,1.303,6.5,14.5537,8.23
51.903,8.15,20.849,1.198,7.911,2.617,1.228,6.404,14.6187,8.23
52.037,8.245,20.82,1.221,7.778,2.605,1.233,6.325,14.6836,8.23
51.742,8.28,20.805,1.213,8.075,2.796,1.225,6.054,14.7486,8.23
52.131,8.325,19.878,1.239,7.796,2.562,1.042,6.196,14.8136,8.23
52.057,8.337,20.656,1.235,7.836,2.564,1.064,6.156,14.8785,8.23
52.026,8.288,20.424,1.22,7.775,2.623,1.105,6.155,14.9435,8.23
51.558,8.352,20.467,1.193,7.967,2.569,1.235,6.16,15.0085,8.23
51.517,8.436,20.118,1.256,8.148,2.754,1.065,5.854,15.0734,8.23
51.841,8.5,20.052,1.251,7.903,2.615,0.995,5.9,15.1384,8.23
51.798,8.459,20.127,1.243,8.235,2.76,1.076,5.85,15.2034,8.23
52.027,8.598,20.334,1.24,7.855,2.584,0.904,5.983,15.2684,8.23
51.622,8.608,20.362,1.24,8.256,2.768,1.044,5.635,15.3333,8.23
51.254,8.651,20.502,1.256,8.198,2.864,1.108,5.58,15.3983,8.23
52.035,8.644,19.632,1.285,8.18,2.605,0.966,5.715,15.4633,8.23
50.964,8.566,20.363,1.214,8.372,3.112,1.365,5.529,15.5282,8.23
51.51,8.481,19.986,1.277,8.118,2.827,0.967,5.671,15.5932,8.23
51.875,8.605,19.881,1.278,8.178,2.724,0.862,5.731,15.6582,8.23
51.818,8.739,19.951,1.253,8.003,2.694,0.9,5.736,15.7231,8.23
51.712,8.717,20.072,1.241,8.072,2.71,0.892,5.69,15.7881,8.23
52.121,8.734,20.269,1.231,7.841,2.527,0.87,5.746,15.8531,8.23
51.487,8.534,19.004,1.27,8.374,2.959,1.11,5.646,15.918,8.23
51.855,8.544,19.265,1.242,7.976,2.678,0.964,5.806,15.983,8.23
52.261,8.633,19.297,1.271,7.962,2.588,0.849,5.857,16.048,8.23
51.68,8.56,19.764,1.235,8.499,2.857,1.075,5.67,16.1129,8.23
51.971,8.7,19.108,1.269,8.106,2.612,0.898,5.725,16.1779,8.23
51.844,8.634,18.727,1.25,8.192,2.752,0.95,5.691,16.2429,8.23
51.73,8.648,18.703,1.264,8.285,2.888,1.029,5.595,16.3078,8.23
51.596,8.739,18.876,1.249,8.481,2.762,0.989,5.528,16.3728,8.23
51.913,8.409,19.147,1.23,8.013,2.684,1.127,6.026,16.4378,8.23
51.678,8.375,19.069,1.233,8.234,2.769,1.174,5.883,16.5027,8.23
51.625,8.73,19.526,1.236,7.977,2.553,1.073,5.832,16.5677,8.23
51.838,8.779,20.282,1.263,8.165,2.646,0.915,5.496,16.6327,8.23
51.925,8.749,20.441,1.249,8.201,2.725,0.853,5.569,16.6977,8.23
51.463,8.659,20.198,1.246,8.502,3.109,1.174,5.449,16.7626,8.23
52.09,8.684,20.731,1.285,7.954,2.677,0.922,5.692,16.8276,8.23
51.895,8.718,20.414,1.273,8.242,2.765,0.897,5.599,16.8926,8.23
51.902,8.735,20.169,1.251,8.066,2.698,0.862,5.67,16.9575,8.23
52.14,8.704,19.933,1.289,8.134,2.642,0.827,5.572,17.0225,8.23
52.087,8.722,19.932,1.259,8.067,2.609,0.828,5.628,17.0875,8.23
50.953,8.654,20.916,1.23,8.837,3.152,1.219,5.347,17.1524,8.23
52.379,8.78,20.658,1.264,7.668,2.498,0.854,5.782,17.2174,8.23
51.867,8.693,19.982,1.283,8.43,2.793,0.949,5.518,17.2824,8.23
51.839,9.168,19.874,1.315,8.611,2.992,0.737,4.746,17.3473,8.23
50.327,8.94,19.439,1.264,8.314,2.907,0.723,4.683,17.4123,8.24
52.269,9.278,20.787,1.322,8.3,2.743,0.601,4.847,17.4773,8.24
52.032,9.504,20.561,1.354,8.954,3.067,0.53,4.249,17.5422,8.24
52.114,9.675,20.318,1.357,8.951,2.923,0.476,4.141,17.6072,8.24
51.591,9.549,20.358,1.361,9.196,3.166,0.519,4.083,17.6722,8.24
52.657,9.811,19.974,1.358,8.601,2.721,0.405,4.232,17.7371,8.24
51.694,9.834,20.788,1.366,9.14,3.09,0.427,3.812,17.8021,8.24
52.133,9.857,20.685,1.396,9.068,3.095,0.376,3.851,17.8671,8.24
52.095,9.981,20.331,1.379,8.681,2.907,0.37,3.93,17.932,8.24
51.999,9.917,19.997,1.383,9.056,3.028,0.356,3.827,17.997,8.24
52.314,9.956,20.261,1.386,9.072,2.947,0.286,3.822,18.062,8.24
52.301,10.071,20.545,1.394,8.918,2.882,0.293,3.761,18.127,8.24
52.101,10.181,20.953,1.419,9.116,3.127,0.243,3.578,18.1919,8.24
52.637,10.26,21.104,1.412,8.899,2.88,0.214,3.556,18.2569,8.24
51.556,10.059,20.991,1.386,9.732,3.345,0.338,3.465,18.3219,8.24
52.227,10.208,21.106,1.401,9.003,2.957,0.226,3.511,18.3868,8.24
51.78,10.267,20.465,1.409,9.036,3.13,0.197,3.314,18.4518,8.24
52.07,10.286,20.708,1.429,9.201,3.007,0.17,3.357,18.5168,8.24
52.752,10.435,20.864,1.415,8.712,2.774,0.15,3.38,18.5817,8.24
52.378,10.349,21.008,1.399,9.019,3.007,0.16,3.353,18.6467,8.24
52.149,10.251,20.974,1.428,9.161,3.079,0.183,3.261,18.7117,8.24
52.004,10.304,20.696,1.414,9.33,3.267,0.237,3.126,18.7766,8.24
52.128,10.348,20.506,1.428,9.286,3.217,0.149,3.16,18.8416,8.24
