Height (mm),Thickness (mm)
0,2.7328
0.0427,2.7328
0.0854,2.7328
0.1281,2.7328
0.1708,2.7328
0.2135,2.7328
0.2562,2.7328
0.2989,2.7328
0.3416,2.7328
0.3843,2.7328
0.427,2.7755
0.4697,2.8182
0.5124,2.8609
0.5551,2.9036
0.5978,2.9463
0.6405,2.989
0.6832,2.9463
0.7259,2.9036
0.7686,2.8609
0.8113,2.8182
0.854,2.7755
0.8967,2.7755
0.9394,2.8182
0.9821,2.8609
1.0248,2.8609
1.0675,2.8609
1.1102,2.8609
1.1529,2.8609
1.1956,2.8609
1.2383,2.8609
1.281,2.8609
1.3237,2.8609
1.3664,2.8609
1.4091,2.8609
1.4518,2.8609
1.4945,2.8609
1.5372,2.8609
1.5799,2.8609
1.6226,2.8609
1.6653,2.9036
1.708,2.9463
1.7507,2.9463
1.7934,2.9036
1.8361,2.9463
1.8788,2.989
1.9215,2.989
1.9642,2.989
2.0069,2.989
2.0496,2.989
2.0923,2.989
2.135,2.989
2.1777,2.9463
2.2204,2.9036
2.2631,2.8609
2.3058,2.8609
2.3485,2.8609
2.3912,2.8609
2.4339,2.8609
2.4766,2.9036
2.5193,2.9463
2.562,2.9463
2.6047,2.9463
2.6474,2.9463
2.6901,2.9463
2.7328,2.9463
2.7755,2.989
2.8182,3.0317
2.8609,3.0317
2.9036,2.989
2.9463,2.989
2.989,2.989
3.0317,2.9463
3.0744,2.9036
3.1171,2.8609
3.1598,2.8609
3.2025,2.8609
3.2452,2.8609
3.2879,2.8609
3.3306,2.8609
3.3733,2.8609
3.416,2.8609
3.4587,2.8609
3.5014,2.8609
3.5441,2.8609
3.5868,2.8609
3.6295,2.8609
3.6722,2.8609
3.7149,2.8609
3.7576,2.8609
3.8003,2.8609
3.843,2.8609
3.8857,2.8609
3.9284,2.8609
3.9711,2.8609
4.0138,2.8609
4.0565,2.8609
4.0992,2.8609
4.1419,2.8609
4.1846,2.8609
4.2273,2.8609
4.27,2.8609
4.3127,2.8609
4.3554,2.8609
4.3981,2.8609
4.4408,2.8609
4.4835,2.8609
4.5262,2.8609
4.5689,2.8609
4.6116,2.8609
4.6543,2.8609
4.697,2.9036
4.7397,2.9463
4.7824,2.989
4.8251,2.989
4.8678,2.989
4.9105,2.989
4.9532,2.989
4.9959,3.0317
5.0386,3.0317
5.0813,2.989
5.124,3.0317
5.1667,3.0744
5.2094,3.0744
5.2521,3.0317
5.2948,3.0317
5.3375,3.0317
5.3802,3.0317
5.4229,3.0317
5.4656,3.0317
5.5083,2.989
5.551,2.989
5.5937,2.989
5.6364,2.989
5.6791,3.0317
5.7218,3.0317
5.7645,2.989
5.8072,2.989
5.8499,2.989
5.8926,2.989
5.9353,2.989
5.978,2.989
6.0207,2.989
6.0634,2.989
6.1061,2.989
6.1488,2.989
6.1915,2.989
6.2342,2.989
6.2769,2.989
6.3196,2.989
6.3623,3.0317
6.405,2.989
6.4477,2.989
6.4904,2.989
6.5331,2.9463
6.5758,2.9036
6.6185,2.8609
6.6612,2.8609
6.7039,2.8609
6.7466,2.8609
6.7893,2.8609
6.832,2.8609
6.8747,2.8609
6.9174,2.8609
6.9601,2.8609
7.0028,2.9036
7.0455,2.9463
7.0882,2.989
7.1309,2.989
7.1736,2.989
7.2163,2.989
7.259,2.989
7.3017,2.989
7.3444,3.0317
7.3871,3.0744
7.4298,3.0317
7.4725,3.0317
7.5152,3.0744
7.5579,3.1171
7.6006,3.1171
7.6433,3.0744
7.686,3.1171
7.7287,3.1171
7.7714,3.1171
7.8141,3.1171
7.8568,3.1598
7.8995,3.1598
7.9422,3.1171
7.9849,3.1171
8.0276,3.1171
8.0703,3.1171
8.113,3.1171
8.1557,3.1171
8.1984,3.1171
8.2411,3.1171
8.2838,3.1171
8.3265,3.1171
8.3692,3.1171
8.4119,3.1171
8.4546,3.1171
8.4973,3.1171
8.54,3.1171
8.5827,3.1171
8.6254,3.1171
8.6681,3.1171
8.7108,3.1171
8.7535,3.1598
8.7962,3.1171
8.8389,3.1171
8.8816,3.1171
8.9243,3.1171
8.967,3.1171
9.0097,3.1171
9.0524,3.1171
9.0951,3.1171
9.1378,3.1171
9.1805,3.1171
9.2232,3.1171
9.2659,3.1171
9.3086,3.1171
9.3513,3.1171
9.394,3.1171
9.4367,3.1171
9.4794,3.1171
9.5221,3.1171
9.5648,3.1171
9.6075,3.1171
9.6502,3.1171
