Height (mm),Thickness (mm)
0,5.0006397
0.0427,5.0006397
0.0854,5.0006397
0.1281,5.0006397
0.1708,5.0006397
0.2135,5.0006397
0.2562,5.0006397
0.2989,5.0006397
0.3416,5.0006397
0.3843,5.0006397
0.427,5.0006397
0.4697,5.0006397
0.5124,5.0006397
0.5551,5.0006397
0.5978,5.0006397
0.6405,5.0006397
0.6832,5.0006397
0.7259,5.0006397
0.7686,5.0006397
0.8113,5.0006397
0.854,5.0006397
0.8967,5.0006397
0.9394,5.0006397
0.9821,5.0006397
1.0248,4.8197625
1.0675,4.5148418
1.1102,4.21400322
1.1529,3.85311136
1.1956,3.35544286
1.2383,2.91119206
1.281,2.62206182
1.3237,2.41691821
1.3664,2.22098072
1.4091,2.13472245
1.4518,2.08280779
1.4945,1.98497355
1.5372,1.93203836
1.5799,1.89616609
1.6226,1.91158506
1.6653,1.87529433
1.708,1.87468372
1.7507,1.86963231
1.7934,1.85893169
1.8361,1.87130615
1.8788,1.94445979
1.9215,1.94445979
1.9642,1.94396874
2.0069,1.94333251
2.0496,1.92028305
2.0923,1.91833166
2.135,1.92370759
2.1777,1.89157157
2.2204,1.90131571
2.2631,1.94369546
2.3058,1.94452384
2.3485,1.9414409
2.3912,1.98478567
2.4339,1.98639546
2.4766,1.98927771
2.5193,1.99038364
2.562,1.99326589
2.6047,1.99376548
2.6474,1.99614387
2.6901,1.92684177
2.7328,1.93553122
2.7755,1.91965963
2.8182,1.95282472
2.8609,1.9678722
2.9036,1.97484511
2.9463,1.9761133
2.989,2.02161015
3.0317,2.02508593
3.0744,2.02877521
3.1171,2.03061985
3.1598,2.03232358
3.2025,2.03420665
3.2452,2.0351674
3.2879,2.00606308
3.3306,1.97209523
3.3733,1.99977337
3.416,2.04112405
3.4587,2.00212614
3.5014,1.9423376
3.5441,1.99935064
3.5868,2.0122375
3.6295,2.02108921
3.6722,2.0296591
3.7149,2.03279755
3.7576,2.03439453
3.8003,2.03439453
3.843,2.03608972
3.8857,2.03439453
3.9284,2.0296591
3.9711,2.01546562
4.0138,1.97729609
4.0565,2.00375728
4.0992,2.0436647
4.1419,2.01951785
4.1846,2.00056759
4.2273,2.04103011
4.27,2.03912569
4.3127,2.03622636
4.3554,2.0373451
4.3981,2.03532966
4.4408,1.99290721
4.4835,2.00348827
4.5262,2.02423193
4.5689,2.02618332
4.6116,2.02433868
4.6543,2.02156318
4.697,2.01784828
4.7397,2.01322387
4.7824,2.00372739
4.8251,1.9481448
4.8678,1.91328879
4.9105,1.98274888
4.9532,1.97835078
4.9959,1.94048869
5.0386,1.96077546
5.0813,1.99047331
5.124,1.99298407
5.1667,1.99439317
5.2094,1.99563574
5.2521,1.9965239
5.2948,2.00062737
5.3375,2.00934244
5.3802,2.0240227
5.4229,2.03573104
5.4656,2.0455008
5.5083,2.02593139
5.551,2.01959044
5.5937,2.02594847
5.6364,2.04986901
5.6791,2.07530113
5.7218,2.03579082
5.7645,2.01118281
5.8072,2.05339176
5.8499,2.06926335
5.8926,2.07603984
5.9353,2.03940751
5.978,2.05280677
6.0207,2.07827732
6.0634,2.07583061
6.1061,2.06252529
6.1488,2.01225885
6.1915,2.06252529
6.2342,2.09189862
6.2769,2.0923
6.3196,2.0923
6.3623,2.0923
6.405,2.053016
6.4477,2.05925447
6.4904,2.06078313
6.5331,2.05925447
6.5758,2.053016
6.6185,2.0923
6.6612,2.0923
6.7039,2.0923
6.7466,2.0923
6.7893,2.09189862
6.832,2.06229044
6.8747,2.05047108
6.9174,2.09034434
6.9601,2.06303342
7.0028,2.04830619
7.0455,2.08843992
7.0882,2.08659528
7.1309,2.08510932
7.1736,2.08315366
7.2163,2.04042804
7.259,2.05059491
7.3017,2.07040771
7.3444,2.07167163
7.3871,2.02885207
7.4298,1.98851765
7.4725,1.98333814
7.5152,2.01734869
7.5579,2.0074551
7.6006,2.02144789
7.6433,1.97354703
7.686,2.00683168
7.7287,2.05518943
7.7714,2.05896838
7.8141,2.06474142
7.8568,2.07386214
7.8995,2.08326895
7.9422,2.09147589
7.9849,2.05536023
8.0276,2.07219684
8.0703,2.10523383
8.113,2.11009309
8.1557,2.11201032
8.1984,2.11669451
8.2411,2.07700059
8.2838,2.11986712
8.3265,2.12160074
8.3692,2.08190255
8.4119,2.12224551
8.4546,2.12468795
8.4973,2.08564307
8.54,2.09777414
8.5827,2.12545228
8.6254,2.12634044
8.6681,2.126887
8.7108,2.126887
8.7535,2.08769694
8.7962,2.09905087
8.8389,2.11221955
8.8816,2.11707454
8.9243,2.11870141
8.967,2.11707454
9.0097,2.11221955
9.0524,2.09905087
9.0951,2.08750479
9.1378,2.09918751
9.1805,2.087603
9.2232,2.12703218
9.2659,2.12632763
9.3086,2.12632763
9.3513,2.08581387
9.394,2.09680912
9.4367,2.10113463
9.4794,2.06363549
9.5221,2.08862353
9.5648,2.09454602
9.6075,2.04519336
9.6502,2.09312411
9.6929,2.09678777
9.7356,2.05950213
9.7783,2.05743545
9.821,2.05083403
9.8637,2.07562992
9.9064,2.11251418
9.9491,2.10996926
9.9918,2.10494774
10.0345,2.06333659
10.0772,2.00832618
10.1199,2.06248259
10.1626,2.10116025
10.2053,2.10116025
10.248,2.10116025
10.2907,2.10095529
10.3334,2.10057526
10.3761,2.10057526
10.4188,2.10038738
10.4615,2.10004151
10.5042,2.09981947
10.5469,2.0994736
10.5896,2.0993028
10.6323,2.09895693
10.675,2.09854274
10.7177,2.09820114
10.7604,2.05882747
10.8031,2.06419913
10.8458,2.06445106
10.8885,2.06431015
10.9312,2.06150903
10.9739,2.10708701
11.0166,2.10016534
11.0593,2.06052266
11.102,2.09524203
11.1447,2.14088406
11.1874,2.14553409
11.2301,2.14955216
11.2728,2.1116004
11.3155,2.15443277
11.3582,2.15655923
11.4009,2.09344009
11.4436,2.09649314
11.4863,2.16743492
11.529,2.12886401
11.5717,2.14182773
11.6144,2.17114128
11.6571,2.17309267
11.6998,2.17405342
11.7425,2.175565
11.7852,2.17642327
11.8279,2.13686172
11.8706,2.14821565
11.9133,2.13828363
11.956,2.14941979
11.9987,2.17068439
12.0414,2.17706377
12.0841,2.17706377
12.1268,2.17706377
12.1695,2.17706377
12.2122,2.17706377
12.2549,2.17706377
12.2976,2.17068439
12.3403,2.14959486
12.383,2.13925292
12.4257,2.18067192
12.4684,2.18460886
12.5111,2.15204584
12.5538,2.17280231
12.5965,2.21061316
12.6392,2.21799599
12.6819,2.22480664
12.7246,2.16207607
12.7673,2.16025705
12.81,2.20525004
12.8527,2.20697085
12.8954,2.20374273
12.9381,2.24779205
12.9808,2.2495641
13.0235,2.25237803
13.0662,2.25368038
13.1089,2.25545243
13.1516,2.25755754
13.1943,2.21782519
13.237,2.23031067
13.2797,2.25936802
13.3224,2.26125963
13.3651,2.26179338
13.4078,2.18282827
13.4505,2.20427221
13.4932,2.23864144
13.5359,2.24020853
13.5786,2.23870122
13.6213,2.23428604
13.664,2.22356407
13.7067,2.2631
13.7494,2.22356407
13.7921,2.23428604
13.8348,2.23870122
13.8775,2.24020853
13.9202,2.23870122
13.9629,2.23716829
14.0056,2.23428604
14.0483,2.22350429
14.091,2.23599831
14.1337,2.19346057
14.1764,2.2219799
14.2191,2.26236129
14.2618,2.17937384
14.3045,2.26303168
14.3472,2.25902215
14.3899,2.21447324
14.4326,2.25467529
14.4753,2.24989716
14.518,2.20447717
14.5607,2.21422131
14.6034,2.24308651
14.6461,2.2419635
14.6888,2.1969577
14.7315,2.20716727
14.7742,2.22996907
14.8169,2.18565501
14.8596,2.19081317
14.9023,2.21875178
14.945,2.22560086
14.9877,2.18992928
15.0304,2.20428502
15.0731,2.22173651
15.1158,2.22955915
15.1585,2.23393163
15.2012,2.23718537
15.2439,2.23732201
15.2866,2.23530657
15.3293,2.22364947
15.372,2.17501844
15.4147,2.22737291
15.4574,2.25692131
15.5001,2.25858661
15.5428,2.25898799
15.5855,2.26093938
15.6282,2.26179338
15.6709,2.2215956
15.7136,2.23252253
15.7563,2.22350429
15.799,2.23428604
15.8417,2.23870122
15.8844,2.24020853
15.9271,2.23870122
15.9698,2.23428604
16.0125,2.22356407
16.0552,2.2631
16.0979,2.2631
16.1406,2.2631
16.1833,2.2631
16.226,2.2631
16.2687,2.26304022
16.3114,2.23212969
16.3541,2.22120703
16.3968,2.26140908
